round,run,bed,head_len,U,frame,q,y_b,y_c,ratio,froude,n_sunk
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,0,0.000000,0.206100,,,0.000000,3
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,5,0.011393,0.219326,0.023652,0.107841,0.020598,19
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,10,0.242784,0.182378,0.181799,0.996825,0.522020,22
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,15,0.307346,0.171560,0.212746,1.240067,0.707210,74
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,20,0.297038,0.165849,0.207962,1.253924,0.739286,121
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,25,0.274794,0.155275,0.197446,1.271586,0.716095,146
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,30,0.257975,0.156607,0.189305,1.208788,0.684648,172
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,35,0.245768,0.149384,0.183285,1.226944,0.676834,187
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,40,0.254178,0.147960,0.187443,1.266843,0.711862,183
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,45,0.262587,0.147843,0.191554,1.295665,0.769087,195
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,50,0.243598,0.141740,0.182205,1.285487,0.772760,221
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,55,0.247667,0.133632,0.184228,1.378627,0.837239,226
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,60,0.240072,0.125817,0.180442,1.434157,0.833825,241
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,65,0.221625,0.125428,0.171076,1.363945,0.805737,244
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,70,0.207791,0.117234,0.163881,1.397896,0.779880,248
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,75,0.180935,0.112940,0.149437,1.323154,0.720705,270
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,80,0.174425,0.107558,0.145831,1.355833,0.710782,278
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,85,0.165744,0.103855,0.140951,1.357191,0.721867,271
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,90,0.151638,0.104791,0.132836,1.267625,0.719722,272
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,95,0.142415,0.102494,0.127394,1.242940,0.667991,280
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,100,0.139974,0.094692,0.125934,1.329933,0.793852,289
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,105,0.147569,0.093229,0.130449,1.399236,1.010339,294
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,110,0.134549,0.079897,0.122658,1.535205,0.985454,313
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,115,0.148655,0.071838,0.131088,1.824757,1.134520,318
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,120,0.142144,0.070410,0.127232,1.807015,1.146788,318
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,125,0.139974,0.066891,0.125934,1.882674,1.174968,303
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,130,0.146484,0.062333,0.129809,2.082516,1.258668,295
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,135,0.166558,0.060593,0.141412,2.333822,1.427561,305
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,140,0.154080,0.061636,0.134258,2.178236,1.351167,304
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,145,0.150825,0.060126,0.132361,2.201388,1.325969,294
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,150,0.165473,0.057590,0.140798,2.444832,1.464415,303
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,155,0.157606,0.058158,0.136299,2.343607,1.419202,303
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,160,0.150825,0.057673,0.132361,2.295023,1.326220,313
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,165,0.140788,0.057582,0.126421,2.195518,1.213247,305
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,170,0.139703,0.056604,0.125771,2.221961,1.182448,309
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,175,0.147298,0.061025,0.130289,2.135009,1.220899,322
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,180,0.128581,0.062031,0.119004,1.918464,1.025935,331
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,185,0.141873,0.064424,0.127070,1.972401,1.100470,324
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,190,0.137804,0.063879,0.124629,1.951018,1.069065,325
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,195,0.139160,0.065026,0.125445,1.929158,1.060002,319
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,200,0.153266,0.067563,0.133785,1.980151,1.158985,303
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,205,0.152452,0.066233,0.133311,2.012765,1.158624,306
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,210,0.141602,0.064923,0.126908,1.954745,1.073496,303
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,215,0.147569,0.067902,0.130449,1.921136,1.150637,332
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,220,0.150825,0.064245,0.132361,2.060239,1.150355,316
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,225,0.176595,0.065407,0.147038,2.248036,1.358598,334
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,230,0.156793,0.064963,0.135829,2.090867,1.204149,323
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,235,0.157064,0.065482,0.135986,2.076704,1.185013,310
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,240,0.151910,0.065770,0.132995,2.022116,1.124512,310
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,245,0.149197,0.066766,0.131407,1.968169,1.076151,337
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,250,0.144314,0.067765,0.128524,1.896605,1.031652,329
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,255,0.151096,0.070200,0.132519,1.887745,1.082164,342
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,260,0.151638,0.072615,0.132836,1.829331,1.081394,344
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,265,0.166016,0.069885,0.141105,2.019091,1.172430,346
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,270,0.160862,0.072608,0.138169,1.902947,1.151014,353
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,275,0.152452,0.071542,0.133311,1.863389,1.111537,355
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,280,0.159505,0.072931,0.137392,1.883859,1.178083,355
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,285,0.167372,0.073775,0.141873,1.923038,1.255029,361
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,290,0.164659,0.072350,0.140336,1.939673,1.247560,380
v4_sdfbed_head0p8,ovf4_v0p8,sdf,0.60,0.80,295,0.170085,0.069385,0.143402,2.066739,1.308140,357
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,0,0.000000,0.209793,,,0.000000,3
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,5,0.011393,0.229519,0.023652,0.103052,0.019769,8
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,10,0.251736,0.197171,0.186240,0.944563,0.523212,9
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,15,0.355360,0.183029,0.234363,1.280473,0.786101,50
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,20,0.330675,0.177430,0.223380,1.258977,0.774490,128
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,25,0.319282,0.167945,0.218219,1.299353,0.791120,145
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,30,0.300293,0.162923,0.209479,1.285753,0.769969,163
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,35,0.291612,0.158042,0.205422,1.299795,0.793044,181
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,40,0.301649,0.149466,0.210109,1.405734,0.811640,203
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,45,0.275608,0.150419,0.197836,1.315226,0.721252,212
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,50,0.261502,0.150730,0.191026,1.267337,0.683722,231
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,55,0.260688,0.157477,0.190630,1.210528,0.768656,232
