t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.985761700384067518e-01,4.815442822095166971e-04,-2.725088939770552686e-03,-6.143049336969852448e-03,2.472602529451251030e-03,-2.883058972656726837e-02,2.958130650222301483e-02,3.505859524011611938e-03,5.240523070096969604e-02,1.290245074778795242e-02
3.333333333333333287e-02,1.085996627807617188e-02,3.957748413085937500e-05,-5.006790161132812500e-06,1.086003985255956650e-02,-3.619164095541960169e-01,-1.126838535302870621e-03,-1.192949088540341297e-03,4.074142277240753174e-01,3.775198129005730152e-04,-3.065368905663490295e-02,4.085659682750701904e-01,-4.634508397430181503e-03,5.453595519065856934e-02,-4.865990206599235535e-02
6.666666666666666574e-02,2.520465850830078125e-02,9.155273437500000000e-05,-5.960464477539062500e-07,2.520482428371906281e-02,-4.584376546970543309e-01,-1.237778145532250672e-03,1.331362763681417146e-03,4.439545273780822754e-01,3.310109954327344894e-03,-2.543598227202892303e-02,4.446949064731597900e-01,2.854575868695974350e-03,-2.425809577107429504e-02,-5.079843848943710327e-02
1.000000000000000056e-01,4.053306579589843750e-02,1.940727233886718750e-04,-4.243850708007812500e-05,4.053355380892753601e-02,-5.585281005680674538e-01,2.231075101691966324e-04,-1.000262345264127969e-04,4.622648954391479492e-01,3.429061500355601311e-03,-1.393027976155281067e-02,4.624874591827392578e-01,-5.184504669159650803e-03,2.038486860692501068e-02,-5.479177460074424744e-02
1.333333333333333315e-01,5.606317520141601562e-02,3.471374511718750000e-04,-2.878904342651367188e-05,5.606425926089286804e-02,-6.555526452753910327e-01,3.026976453803798266e-04,9.742213892350240359e-04,4.533976614475250244e-01,5.477528553456068039e-03,-1.538163330405950546e-02,4.536915719509124756e-01,-2.406183863058686256e-03,-9.234552271664142609e-03,-5.034142360091209412e-02
1.666666666666666574e-01,7.084226608276367188e-02,5.536079406738281250e-04,-2.843141555786132812e-05,7.084443420171737671e-02,-7.482001059417943134e-01,6.574187872759104786e-04,-4.197509815313402930e-04,4.194647371768951416e-01,5.852716043591499329e-03,-1.935024186968803406e-02,4.199516177177429199e-01,-4.263353999704122543e-03,3.498768433928489685e-02,-5.008562654256820679e-02
1.999999999999999833e-01,8.427143096923828125e-02,8.072853088378906250e-04,3.188848495483398438e-05,8.427530527114868164e-02,-8.372909590413250003e-01,1.302282453721377619e-03,3.742980350753349894e-03,3.730973601341247559e-01,7.804960012435913086e-03,-1.569375768303871155e-02,3.735088407993316650e-01,-1.423527300357818604e-02,1.908773928880691528e-02,-5.315658822655677795e-02
2.333333333333333093e-01,9.622526168823242188e-02,1.105308532714843750e-03,3.099441528320312500e-06,9.623160958290100098e-02,-9.241344130996570483e-01,1.111124285228631305e-03,1.986299385424374671e-03,3.331786990165710449e-01,9.036389179527759552e-03,-2.050538547337055206e-02,3.339313864707946777e-01,-4.610514733940362930e-03,-1.415571197867393494e-02,-4.654354602098464966e-02
2.666666666666666630e-01,1.069774627685546875e-01,1.401901245117187500e-03,-2.777576446533203125e-05,1.069866493344306946e-01,-1.009122136777008460e+00,6.172566683934155394e-04,5.372558786888676982e-04,3.044126629829406738e-01,9.260894730687141418e-03,-2.034261822700500488e-02,3.052321374416351318e-01,-6.203555036336183548e-03,-1.171647198498249054e-02,-4.699158295989036560e-02
2.999999999999999889e-01,1.169300079345703125e-01,1.696586608886718750e-03,-3.319978713989257812e-05,1.169423237442970276e-01,-1.093617553225589845e+00,5.869882456932309358e-04,1.876424490962829924e-04,2.842218875885009766e-01,8.897543884813785553e-03,-1.939135231077671051e-02,2.850215137004852295e-01,-5.393896135501563549e-04,-1.672924868762493134e-02,-4.388892650604248047e-02
3.333333333333333148e-01,1.261281967163085938e-01,1.976966857910156250e-03,-2.712011337280273438e-05,1.261436790227890015e-01,-1.177048634102412894e+00,2.657615131384181420e-04,1.139254521878218076e-03,2.585235238075256348e-01,8.939484134316444397e-03,-1.892831921577453613e-02,2.593696415424346924e-01,-8.435944095253944397e-03,-5.982633680105209351e-03,-4.694858565926551819e-02
3.666666666666666408e-01,1.343183517456054688e-01,2.272605895996093750e-03,1.549720764160156250e-05,1.343375742435455322e-01,-1.258921898239944381e+00,-1.067845715362611154e-03,2.746799094586308259e-03,2.225883603096008301e-01,1.037905365228652954e-02,-2.119724638760089874e-02,2.238361537456512451e-01,5.566135980188846588e-03,-1.339579373598098755e-02,-3.813789784908294678e-02
3.999999999999999667e-01,1.411981582641601562e-01,2.574443817138671875e-03,-1.984834671020507812e-05,1.412216275930404663e-01,-1.334988114200789555e+00,-1.205473125631771462e-04,1.861593821573761642e-03,1.845669299364089966e-01,9.746044874191284180e-03,-2.999466471374034882e-02,1.872421354055404663e-01,9.325011633336544037e-03,-1.841391436755657196e-02,-3.301578760147094727e-02
4.333333333333332926e-01,1.467614173889160156e-01,2.871036529541015625e-03,1.347064971923828125e-05,1.467894911766052246e-01,-1.405607894628784438e+00,-8.264363185254303698e-04,3.009503327882273160e-03,1.485542207956314087e-01,1.097080670297145844e-02,-3.102047741413116455e-02,1.521544754505157471e-01,7.460748776793479919e-03,-2.271875366568565369e-02,-3.058674186468124390e-02
4.666666666666666186e-01,1.513638496398925781e-01,3.206253051757812500e-03,2.270936965942382812e-05,1.513978093862533569e-01,-1.466188470915624098e+00,3.197234833323858889e-04,4.618281349211382156e-03,1.212081536650657654e-01,9.911832399666309357e-03,-2.316009812057018280e-02,1.237984299659729004e-01,-7.287429179996252060e-03,-1.435976941138505936e-02,-3.387929871678352356e-02
4.999999999999999445e-01,1.552443504333496094e-01,3.511905670166015625e-03,-7.510185241699218750e-06,1.552840620279312134e-01,-1.524285526387223477e+00,5.095760305661702289e-04,-2.143015207784474373e-03,1.030230745673179626e-01,6.956230849027633667e-03,-2.077423036098480225e-02,1.053266823291778564e-01,-1.383348368108272552e-02,2.352190203964710236e-02,-3.481657058000564575e-02
5.333333333333333259e-01,1.585869789123535156e-01,3.758430480957031250e-03,-1.293420791625976562e-05,1.586315035820007324e-01,-1.576995590316092821e+00,-5.781561907764896837e-04,-1.554885748538209272e-03,8.647941052913665771e-02,6.725531071424484253e-03,-2.255786396563053131e-02,8.962576836347579956e-02,8.185137063264846802e-03,3.181596472859382629e-02,-2.246064320206642151e-02
5.666666666666666519e-01,1.612372398376464844e-01,4.014968872070312500e-03,3.790855407714843750e-05,1.612872183322906494e-01,-1.620730145345330886e+00,1.651114438636277658e-03,3.628025232123526997e-03,6.317058950662612915e-02,6.949956063181161880e-03,-1.521087065339088440e-02,6.534674018621444702e-02,-1.333534531295299530e-02,1.375155244022607803e-02,-2.265634573996067047e-02
