t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg,vx,vy,vz,vmag,wx,wy,wz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.783167884235175915e-01,1.889091719610143383e-01,6.385355758038481488e-02,5.714070983231067657e-03,1.048850733786821365e-02,3.324925899505615234e-02,3.532948717474937439e-02,3.100606426596641541e-02,6.375794764608144760e-03,2.774358727037906647e-02
3.333333333333333287e-02,1.588726043701171875e-02,3.747940063476562500e-04,-3.818273544311523438e-04,1.589626632630825043e-02,2.798196168039054910e-01,2.119226139152995958e-01,-5.022889632724171216e-01,6.251248717308044434e-01,1.735486835241317749e-02,-3.871953859925270081e-02,6.265632510185241699e-01,-7.218575477600097656e-02,-4.751221090555191040e-02,-4.621204361319541931e-02
6.666666666666666574e-02,4.057979583740234375e-02,1.212596893310546875e-03,-3.507375717163085938e-03,4.074913635849952698e-02,1.873281432507150346e-01,6.861703422719352130e-02,-4.989401962275539226e-01,7.982288599014282227e-01,2.825395204126834869e-02,-1.935584843158721924e-01,8.218469619750976562e-01,-9.191381931304931641e-02,1.087024137377738953e-01,-6.176269054412841797e-02
1.000000000000000056e-01,6.905746459960937500e-02,2.040863037109375000e-03,-1.048970222473144531e-02,6.987942010164260864e-02,1.049891122386204662e-01,-1.909719891419573573e-02,-9.014326252066801048e-02,8.954027295112609863e-01,1.688463427126407623e-02,-2.721779048442840576e-01,9.360085129737854004e-01,5.953475832939147949e-03,3.189865052700042725e-01,-1.968322694301605225e-02
1.333333333333333315e-01,9.591341018676757812e-02,2.267837524414062500e-03,-1.218342781066894531e-02,9.671070426702499390e-02,8.804155194807426754e-02,2.025645510561346202e-03,4.109275091658402997e-03,7.540824413299560547e-01,6.197705864906311035e-03,-9.433731436729431152e-02,7.599856853485107422e-01,-2.304065786302089691e-02,-7.220833748579025269e-02,-2.270703203976154327e-02
1.666666666666666574e-01,1.206731796264648438e-01,2.452850341796875000e-03,-1.217699050903320312e-02,1.213108077645301819e-01,5.173086559789809996e-02,1.543648286424753168e-03,5.407801858475932109e-03,7.295304536819458008e-01,4.760083276778459549e-03,-2.642689459025859833e-02,7.300244569778442383e-01,-6.297813728451728821e-03,-1.680880784988403320e-02,-2.572586201131343842e-02
1.999999999999999833e-01,1.454277038574218750e-01,2.594947814941406250e-03,-1.214599609375000000e-02,1.459570974111557007e-01,4.548931417009948255e-03,2.630781761478629723e-03,5.851235965459476024e-03,7.434363961219787598e-01,3.675815882161259651e-03,-1.919465698301792145e-02,7.436932325363159180e-01,-4.764297511428594589e-03,-1.230785250663757324e-02,-2.757552079856395721e-02
2.333333333333333093e-01,1.704044342041015625e-01,2.736091613769531250e-03,-1.211988925933837891e-02,1.708568036556243896e-01,-4.483502590356322481e-02,-1.328642923490227319e-03,9.770159554643441033e-03,7.413636445999145508e-01,4.563599359244108200e-03,-1.615862362086772919e-02,7.415537238121032715e-01,9.790398180484771729e-03,6.499687442556023598e-04,-1.894197799265384674e-02
2.666666666666666630e-01,1.950016021728515625e-01,2.892494201660156250e-03,-1.220059394836425781e-02,1.954043209552764893e-01,-8.740112833189300767e-02,-1.857203432337678223e-03,2.862732217598018807e-03,7.170918583869934082e-01,6.027310155332088470e-03,-2.329398505389690399e-02,7.174953818321228027e-01,9.922919794917106628e-03,2.035079291090369225e-03,-1.618858054280281067e-02
2.999999999999999889e-01,2.186150550842285156e-01,3.083229064941406250e-03,-1.222813129425048828e-02,2.189784795045852661e-01,-1.254960815408160124e-01,-5.480590022194681450e-04,3.207506484844076071e-03,6.848129034042358398e-01,6.313682533800601959e-03,-3.776875138282775879e-02,6.858826875686645508e-01,1.904431357979774475e-02,-8.248956874012947083e-03,-1.026945468038320541e-02
