label,arm,arm_meaning,vehicle,arr_class,params_class,n_grid,dx_m,h_m,grid_lim_m,water_layers,realized_depth_m,depth_over_dx,nominal_depth_m,velocity_ms,mass_kg,mass_source,mass_alt_kg,hull_m3,solid_volume_m3,fill_ratio,realized_rho,rho_hull_basis,mode,mode_continuity_ssf,mode_agrees_across_ssf,ssf_own,ssf_continuity,peak_surge_accel_g,ratio_slide,longest_joint_frames,sustain_frames_required,margin_frames,k_crit,headroom_x,passthrough_max_frac,passthrough_gate_P2_limit,passthrough_P2_pass,C2_veh_zmin_rise_m,C3_oob_particle_frames,leaked_particle_frames,substeps,determinism_identical_FLAG_DO_NOT_TRUST,hull_source,hull_sha256,driver_sha256,runner_sha256,job_id,node,engine,canonical
MU_silverado_n154_m2270_mu0p40,MU,,silverado,large_4wd,light_pickup,154,0.08485670770917621,0.042428353854588104,13.067932987213135,7,0.29699847698211673,3.5,0.3,1.5,2270.0,explicit --mass,2270.0,7.962083114517729,7.952176695742145,0.9987558006324349,285.45643373536103,285.1012690210401,STUCK,STUCK,True,1.19,1.42,0.5591061957385561,1.767873764038086,2,3,-1,1.0026927784577724,0.997314453125,0.10232850401915917,0.1,False,-5.960464477539063e-08,0,216872,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/silverado_g96_pd8_coarse_watertight.ply,46fba11e77cd92dda7464232bad2b03f14a2afbc91f87490bcf2f1f7d466d7f9,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,6d13d7b61217e5559ea233e38609537e79c7203af16f7e3675a7733abb76955f,,c301-004.ls6.tacc.utexas.edu,warpmpm,NO
MU_silverado_n154_m2270_mu0p45,MU,,silverado,large_4wd,light_pickup,154,0.08485670770917621,0.042428353854588104,13.067932987213135,7,0.29699847698211673,3.5,0.3,1.5,2270.0,explicit --mass,2270.0,7.962083114517728,7.952176695742145,0.998755800632435,285.45643373536103,285.10126902104014,STUCK,STUCK,True,1.19,1.42,0.5348412774286777,1.3770389556884766,0,3,-3,1.4885876123280477,0.6717777252197266,0.1044337778741307,0.1,False,-5.960464477539063e-08,0,215980,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/silverado_g96_pd8_coarse_watertight.ply,46fba11e77cd92dda7464232bad2b03f14a2afbc91f87490bcf2f1f7d466d7f9,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,6d13d7b61217e5559ea233e38609537e79c7203af16f7e3675a7733abb76955f,,c301-004.ls6.tacc.utexas.edu,warpmpm,NO
MU_silverado_n154_m2270_mu0p50,MU,,silverado,large_4wd,light_pickup,154,0.08485670770917621,0.042428353854588104,13.067932987213135,7,0.29699847698211673,3.5,0.3,1.5,2270.0,explicit --mass,2270.0,7.962083114517728,7.952176695742145,0.998755800632435,285.45643373536103,285.10126902104014,STUCK,STUCK,True,1.19,1.42,0.46688996594319465,1.0962867736816406,0,3,-3,2.1674857264805367,0.4613640531897545,0.10291113813509659,0.1,False,5.960464477539063e-08,0,215486,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/silverado_g96_pd8_coarse_watertight.ply,46fba11e77cd92dda7464232bad2b03f14a2afbc91f87490bcf2f1f7d466d7f9,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,6d13d7b61217e5559ea233e38609537e79c7203af16f7e3675a7733abb76955f,,c301-004.ls6.tacc.utexas.edu,warpmpm,NO
