run,sweep,scenario,mass_kg,n_grid,water_layers,h,realized_depth_m,requested_depth_m,velocity_ms,final_disp_mag_m,passthrough_max_frac,determinism_identical,realized_rho,fill_ratio,hull_m3,solid_volume_m3,n_vehicle,n_water,dx,grid_lim,local_depth_bow_peak,local_depth_bow_peak_frame,local_depth_bow_final,local_depth_footprint_peak,local_depth_footprint_final,C2_veh_zmin_final,C2_veh_zmin_start,C2_veh_zmin_rise,C3_oob_particle_frames,leaked_particle_frames,frames,substeps,sound_speed_ms,bulk_modulus,water_eta,floor_friction,label,final_yaw_deg,final_pitch_deg,final_roll_deg,summary_path
g48_m1100,mass_grid,standing_water_sustained_inflow,1100.0,48,3,0.0981431491013306,0.2944294473039918,0.3,1.5,0.35071679949760437,0.10052764647686051,True,302.5543756710498,1.0262427183870328,3.542739,3.6357101018957585,3846,18194,0.1962862982026612,9.421742313727737,0.43574494908098127,57,0.3518000323558226,0.34707421849016096,0.3227258999133482,0.5888589024543762,0.6428037285804749,-0.05394482612609863,0,6345,90,8,12.84523257866513,150000.0,0.001,0.55,small_passenger,-1.4049892289003694,0.0009413241107666449,0.0019464192348768326,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/g48_m1100/summary.json
g48_m1609,mass_grid,standing_water_sustained_inflow,1609.0,48,3,0.0981431491013306,0.2944294473039918,0.3,1.5,0.25682950019836426,0.09343739694404748,True,442.55453677701735,1.0262427183870328,3.542739,3.6357101018957585,3846,18194,0.1962862982026612,9.421742313727737,0.4469087798381224,55,0.3615782339358702,0.33892584631685163,0.3109788973117247,0.5888589024543762,0.6375129222869873,-0.048654019832611084,0,6452,90,8,12.84523257866513,150000.0,0.001,0.55,large_passenger,-0.9889439436997924,-0.0018885493899168417,-0.0031904829136861134,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/g48_m1609/summary.json
g48_m2337,mass_grid,standing_water_sustained_inflow,2337.0,48,3,0.0981431491013306,0.2944294473039918,0.3,1.5,0.18754208087921143,0.09101901725843685,True,642.7905235847667,1.0262427183870328,3.542739,3.6357101018957585,3846,18194,0.1962862982026612,9.421742313727737,0.46857709477189924,54,0.3594288904452696,0.33429247925523664,0.2804991085315123,0.5888589024543762,0.6320192217826843,-0.043160319328308105,0,6528,90,8,12.84523257866513,150000.0,0.001,0.55,large_4wd,-0.943425321915006,-0.002900643436050226,-0.0006067142001227365,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/g48_m2337/summary.json
g64_m1100,mass_grid,standing_water_sustained_inflow,1100.0,64,4,0.07360736182599795,0.2944294473039918,0.3,1.5,0.6585370302200317,0.10670498480368847,True,309.7383668982256,1.0024403113437104,3.542739,3.5513843861695054,8905,48367,0.1472147236519959,9.421742313727737,0.3957637756306212,50,0.2278894989925902,0.37501098804059435,0.32978125505032946,0.44164419174194336,0.4487217664718628,-0.007077574729919434,0,108249,90,11,12.84523257866513,150000.0,0.001,0.55,small_passenger,-1.6767632030271171,0.0021605690524180384,-0.002865196405109246,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/g64_m1100/summary.json
g64_m1609,mass_grid,standing_water_sustained_inflow,1609.0,64,4,0.07360736182599795,0.2944294473039918,0.3,1.5,0.3140755891799927,0.0974217958525441,True,453.0627566720409,1.0024403113437104,3.542739,3.5513843861695054,8905,48367,0.1472147236519959,9.421742313727737,0.4435553162533324,35,0.23322179011884142,0.3829974739986937,0.3221178262669127,0.4416441321372986,0.4452534317970276,-0.003609299659729004,0,111293,90,11,12.84523257866513,150000.0,0.001,0.55,large_passenger,-2.834113785006625,7.520576144722442e-06,-0.0014923796583812578,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/g64_m1609/summary.json
g64_m2337,mass_grid,standing_water_sustained_inflow,2337.0,64,4,0.07360736182599795,0.2944294473039918,0.3,1.5,0.13555917143821716,0.07343850145760539,True,658.0532394919575,1.0024403113437104,3.542739,3.5513843861695054,8905,48367,0.1472147236519959,9.421742313727737,0.47424860887113024,24,0.22811420850339342,0.29873838119092394,0.2760743706661742,0.4416441321372986,0.4416441321372986,0.0,0,112526,90,11,12.84523257866513,150000.0,0.001,0.55,large_4wd,0.41165670189585857,-0.0017143615359495829,0.000653998429559906,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/g64_m2337/summary.json
g96_m1100,mass_grid,standing_water_sustained_inflow,1100.0,96,6,0.0490715745506653,0.2944294473039918,0.3,1.5,0.2686379551887512,0.09693614043661526,True,312.3403915798839,0.9940892478811469,3.542739,3.5217987479492066,29804,180067,0.0981431491013306,9.421742313727737,0.45927450453164054,55,0.3251554111135192,0.4093228915822692,0.36111805235268546,0.2944294214248657,0.2944294214248657,0.0,0,153168,90,16,12.84523257866513,150000.0,0.001,0.55,small_passenger,-1.3400707354386312,6.0364536484168084e-05,-0.0015527666348237033,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/g96_m1100/summary.json
g96_m1609,mass_grid,standing_water_sustained_inflow,1609.0,96,6,0.0490715745506653,0.2944294473039918,0.3,1.5,0.1559590846300125,0.08927232641183559,True,456.868809138212,0.9940892478811469,3.542739,3.5217987479492066,29804,180067,0.0981431491013306,9.421742313727737,0.4873221257817931,19,0.34264865909935904,0.3978674152982421,0.35428694282891227,0.2944294214248657,0.2944294214248657,0.0,0,153932,90,16,12.84523257866513,150000.0,0.001,0.55,large_passenger,-0.9551712195750182,0.00021261031264163164,0.00038672913361097357,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/g96_m1609/summary.json
g96_m2337,mass_grid,standing_water_sustained_inflow,2337.0,96,6,0.0490715745506653,0.2944294473039918,0.3,1.5,0.0894387811422348,0.08235823332426263,True,663.5813592019897,0.9940892478811469,3.542739,3.5217987479492066,29804,180067,0.0981431491013306,9.421742313727737,0.5092047194135375,17,0.3512045482289977,0.3664713243138976,0.3428982833516784,0.2944294214248657,0.2944294214248657,0.0,0,154976,90,16,12.84523257866513,150000.0,0.001,0.55,large_4wd,-0.3576756624924115,0.0007834074086654644,0.0023321254451067076,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/g96_m2337/summary.json
sweepD_g64_d0p25,depth,standing_water_sustained_inflow,1100.0,64,3,0.07360736182599795,0.22082208547799384,0.25,1.5,0.2957770824432373,0.09681884805385159,True,309.7383668982256,1.0024403113437104,3.542739,3.5513843861695054,8905,36842,0.1472147236519959,9.421742313727737,0.34188970021787096,38,0.18079718045773913,0.2573619096714537,0.23371758155408312,0.44164419174194336,0.4416441321372986,5.960464477539063e-08,0,80866,90,11,12.84523257866513,150000.0,0.001,0.55,small_passenger,-0.5998494110253223,-0.0014554508215684021,-0.008307248427271086,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/sweepD_g64_d0p25/summary.json
sweepD_g64_d0p35,depth,standing_water_sustained_inflow,1100.0,64,5,0.07360736182599795,0.3680368091299897,0.35,1.5,0.9653648734092712,0.1043956043956044,True,309.7383668982256,1.0024403113437104,3.542739,3.5513843861695054,8905,60060,0.1472147236519959,9.421742313727737,0.469305357261328,52,0.32092269353452135,0.4595329969364684,0.4523196428257506,0.44164419174194336,0.4611945152282715,-0.019550323486328125,0,137893,90,11,12.84523257866513,150000.0,0.001,0.55,small_passenger,-0.5106029576787623,0.00019348320872132561,-0.35738036353251423,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/sweepD_g64_d0p35/summary.json
sweepD_g64_d0p45,depth,standing_water_sustained_inflow,1100.0,64,6,0.07360736182599795,0.4416441709559877,0.45,1.5,0.9744062423706055,0.10799795526450312,True,309.7383668982256,1.0024403113437104,3.542739,3.5513843861695054,8905,72381,0.1472147236519959,9.421742313727737,0.5589627235371153,53,0.4096914141613524,0.5511142819363157,0.5404575674969236,0.44164419174194336,0.4663410186767578,-0.024696826934814453,0,168433,90,11,12.84523257866513,150000.0,0.001,0.55,small_passenger,0.900132274582586,2.5020017721237656e-05,-2.4397813510124013,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/sweepD_g64_d0p45/summary.json
sweepV_g64_v0p5,velocity,standing_water_sustained_inflow,1100.0,64,4,0.07360736182599795,0.2944294473039918,0.3,0.5,0.05781252682209015,0.0799098558934811,True,309.7383668982256,1.0024403113437104,3.542739,3.5513843861695054,8905,48367,0.1472147236519959,9.421742313727737,0.29536112241330553,24,0.26160504512372423,0.2526689975697081,0.2526689975697081,0.4416441321372986,0.44872379302978516,-0.007079660892486572,0,85914,90,11,12.84523257866513,150000.0,0.001,0.55,small_passenger,-0.1878222780886964,-0.0006323971850786638,0.0005671136208405838,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/sweepV_g64_v0p5/summary.json
sweepV_g64_v1p0,velocity,standing_water_sustained_inflow,1100.0,64,4,0.07360736182599795,0.2944294473039918,0.3,1.0,0.24017776548862457,0.09221163189778155,True,309.7383668982256,1.0024403113437104,3.542739,3.5513843861695054,8905,48367,0.1472147236519959,9.421742313727737,0.3538522332150023,35,0.26228531293454577,0.29399671248975207,0.2851252167660277,0.44164419174194336,0.4487231373786926,-0.007078945636749268,0,87523,90,11,12.84523257866513,150000.0,0.001,0.55,small_passenger,-0.7548480677991853,0.0005697816634851199,0.002732307662650676,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/sweepV_g64_v1p0/summary.json
sweepV_g64_v2p0,velocity,standing_water_sustained_inflow,1100.0,64,4,0.07360736182599795,0.2944294473039918,0.3,2.0,1.0196400880813599,0.11491306055781834,True,309.7383668982256,1.0024403113437104,3.542739,3.5513843861695054,8905,48367,0.1472147236519959,9.421742313727737,0.4551579564053099,48,0.22842772893491198,0.4617154806095641,0.40126576118054796,0.44164419174194336,0.44872456789016724,-0.007080376148223877,0,135267,90,11,12.84523257866513,150000.0,0.001,0.55,small_passenger,-0.7745488413255879,0.0004610904002858408,-0.005840495426288565,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/sweepV_g64_v2p0/summary.json
sweepV_g64_v2p5,velocity,standing_water_sustained_inflow,1100.0,64,4,0.07360736182599795,0.2944294473039918,0.3,2.5,1.2196464538574219,0.12781441892199227,True,309.7383668982256,1.0024403113437104,3.542739,3.5513843861695054,8905,48367,0.1472147236519959,9.421742313727737,0.5355283229786436,46,0.25285788468900133,0.603662034793524,0.4581908791500609,0.44164419174194336,0.448724627494812,-0.007080435752868652,0,183921,90,11,12.84523257866513,150000.0,0.001,0.55,small_passenger,0.4188157540022368,-0.00021567453616928793,-0.5083643631782906,/Users/josie/can-it-ford/renders/yaris_render_s1/_incoming/sweepV_g64_v2p5/summary.json
