label,arm,arm_meaning,vehicle,arr_class,params_class,n_grid,dx_m,h_m,grid_lim_m,water_layers,realized_depth_m,depth_over_dx,nominal_depth_m,velocity_ms,floor_friction,n_carved,frames,bulk_modulus,sound_speed_ms,mass_kg,mass_source,mass_alt_kg,hull_m3,solid_volume_m3,fill_ratio,realized_rho,rho_hull_basis,mode,mode_continuity_ssf,mode_agrees_across_ssf,ssf_own,ssf_continuity,peak_surge_accel_g,ratio_slide,longest_joint_frames,sustain_frames_required,margin_frames,k_crit,headroom_x,passthrough_max_frac,passthrough_gate_P2_limit,passthrough_P2_pass,C2_veh_zmin_rise_m,C3_oob_particle_frames,leaked_particle_frames,substeps,determinism_identical_FLAG_DO_NOT_TRUST,hull_source,hull_sha256,driver_sha256,runner_sha256,job_id,node,engine,canonical
SET250_yaris_n111,SET250,,yaris,small_passenger,compact_sedan,111,0.08488056138493456,0.04244028069246728,9.421742313727737,7,0.29708196484727095,3.4999999999999996,0.3,1.5,0.55,2930,90,150000.0,12.84523257866513,1100.0,vehicle_params.py mass_kg 1100.0; also Yaris deck header line 28,,3.542738790016075,3.539668828248614,0.9991334495853568,310.7635356227003,310.49424335205043,SLIDE,SLIDE,True,1.42,1.42,1.6955307361581546,7.978391647338867,43,3,40,0.19339585351810046,5.17074167728424,0.10600697007673951,0.1,False,0.0,0,1641887,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/yaris_coarse_v1l_watertight.ply,b379fa4472c6806515d2145fb721de0f2ab9e0b8b042c01b93f4be34e9949a95,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,,,c642-012.vista.tacc.utexas.edu,warpmpm,NO
SET8_yaris_n111,SET8,,yaris,small_passenger,compact_sedan,111,0.08488056138493456,0.04244028069246728,9.421742313727737,7,0.29708196484727095,3.4999999999999996,0.3,1.5,0.55,2930,90,150000.0,12.84523257866513,1100.0,vehicle_params.py mass_kg 1100.0; also Yaris deck header line 28,,3.542738790016075,3.539668828248614,0.9991334495853568,310.7635356227003,310.49424335205043,SLIDE,SLIDE,True,1.42,1.42,1.7495355041931162,11.313152313232422,43,3,40,0.14662917184644278,6.819925308227538,0.1089186080447733,0.1,False,0.0,0,427579,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/yaris_coarse_v1l_watertight.ply,b379fa4472c6806515d2145fb721de0f2ab9e0b8b042c01b93f4be34e9949a95,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,,,c642-012.vista.tacc.utexas.edu,warpmpm,NO
FLOOR_rogue_n123_m1571p3_a,FLOOR,,rogue,large_passenger,midsize_suv,123,0.08489866721920852,0.04244933360960426,10.442536067962648,7,0.29714533526722986,3.5000000000000004,0.3,1.5,0.55,4647,90,150000.0,12.84523257866513,1571.3,explicit --mass,1571.3,4.950340735545737,4.941421168490548,0.9981981912899162,317.9854431392222,317.41249419809407,SLIDE,SLIDE,True,1.04,1.42,1.1410277325443536,6.039705276489258,24,3,21,0.2309994933139471,4.329013824462891,0.10044421145568921,0.1,False,0.0,0,446896,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/rogue_g96_pd8_coarse_watertight.ply,c0b778e2c443263105c079ec5fed7b68a9aca902e51d21fac5153b2f06c310b2,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,,,c642-012.vista.tacc.utexas.edu,warpmpm,NO
FLOOR_rogue_n123_m1571p3_b,FLOOR,,rogue,large_passenger,midsize_suv,123,0.08489866721920852,0.04244933360960426,10.442536067962648,7,0.29714533526722986,3.5000000000000004,0.3,1.5,0.55,4647,90,150000.0,12.84523257866513,1571.3,explicit --mass,1571.3,4.950340735545737,4.941421168490548,0.9981981912899162,317.9854431392222,317.41249419809407,SLIDE,SLIDE,True,1.04,1.42,1.1234406256529899,6.043720245361328,24,3,21,0.2314538041978726,4.320516586303711,0.10047732038406357,0.1,False,0.0,0,446914,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/rogue_g96_pd8_coarse_watertight.ply,c0b778e2c443263105c079ec5fed7b68a9aca902e51d21fac5153b2f06c310b2,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,,,c642-012.vista.tacc.utexas.edu,warpmpm,NO
SET250_rogue_n123,SET250,,rogue,large_passenger,midsize_suv,123,0.08489866721920852,0.04244933360960426,10.442536067962648,7,0.29714533526722986,3.5000000000000004,0.3,1.5,0.55,4647,90,150000.0,12.84523257866513,1100.0,explicit --mass,1571.3,4.950340735545737,4.941421168490548,0.9981981912899162,222.6080235812031,222.20692650537993,SLIDE,SLIDE,True,1.04,1.42,1.895024438334532,11.289749145507812,47,3,44,0.13887614496638606,7.200660705566406,0.11837269617040062,0.1,False,0.0,0,1793512,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/rogue_g96_pd8_coarse_watertight.ply,c0b778e2c443263105c079ec5fed7b68a9aca902e51d21fac5153b2f06c310b2,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,,,c642-012.vista.tacc.utexas.edu,warpmpm,NO
SET8_rogue_n123,SET8,,rogue,large_passenger,midsize_suv,123,0.08489866721920852,0.04244933360960426,10.442536067962648,7,0.29714533526722986,3.5000000000000004,0.3,1.5,0.55,4647,90,150000.0,12.84523257866513,1100.0,explicit --mass,1571.3,4.950340735545737,4.941421168490548,0.9981981912899162,222.6080235812031,222.20692650537993,SLIDE,SLIDE,True,1.04,1.42,1.5552239407093151,14.224605560302734,49,3,46,0.12356652123218476,8.092806935310362,0.1071846374572343,0.1,False,0.0,0,451594,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/rogue_g96_pd8_coarse_watertight.ply,c0b778e2c443263105c079ec5fed7b68a9aca902e51d21fac5153b2f06c310b2,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,,,c642-012.vista.tacc.utexas.edu,warpmpm,NO
SET250_silverado_n154,SET250,,silverado,large_4wd,light_pickup,154,0.08485670770917621,0.042428353854588104,13.067932987213135,7,0.29699847698211673,3.5,0.3,1.5,0.55,2345,90,150000.0,12.84523257866513,1100.0,explicit --mass,2270.0,7.962083114517729,7.952176695742145,0.9987558006324349,138.32690621537319,138.15479996614278,SLIDE,SLIDE,True,1.19,1.42,1.1550762344561858,5.027017593383789,20,3,17,0.29818485836890346,3.35362434387207,0.10629177097059392,0.1,False,0.0,0,1183381,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/silverado_g96_pd8_coarse_watertight.ply,46fba11e77cd92dda7464232bad2b03f14a2afbc91f87490bcf2f1f7d466d7f9,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,,,c642-012.vista.tacc.utexas.edu,warpmpm,NO
SET8_silverado_n154,SET8,,silverado,large_4wd,light_pickup,154,0.08485670770917621,0.042428353854588104,13.067932987213135,7,0.29699847698211673,3.5,0.3,1.5,0.55,2345,90,150000.0,12.84523257866513,1100.0,explicit --mass,2270.0,7.962083114517729,7.952176695742145,0.9987558006324349,138.32690621537319,138.15479996614278,SLIDE,SLIDE,True,1.19,1.42,0.8815271660275416,4.775505065917969,20,3,17,0.3081835388721036,3.244819641113281,0.10682190026794394,0.1,False,0.0,0,209985,19,True,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/silverado_g96_pd8_coarse_watertight.ply,46fba11e77cd92dda7464232bad2b03f14a2afbc91f87490bcf2f1f7d466d7f9,4696c3b2d39f4e28f9c49c9f96c5c28a786c237f19204cc32036f703277d10d9,,,c642-012.vista.tacc.utexas.edu,warpmpm,NO
