vehicle,n_grid,mass_kg,requested_depth_m,velocity_ms,passthrough_max_frac,final_disp_mag_m,hull_m3,realized_rho,source_job,source_host,source_date,C2_veh_zmin_final,C2_veh_zmin_rise,C2_veh_zmin_start,C3_oob_particle_frames,bulk_modulus,depth_m,determinism_identical,dx,fill_ratio,final_disp_m,final_pitch_deg,final_roll_deg,final_yaw_deg,floor_friction,frames,grid_lim,grid_lim_line_verbatim,h,hull_m3_published,hull_ref_delta_pct,hull_source,hull_watertight,hull_yaris_ref_m3,label,leaked_particle_frames,local_depth_bow_final,local_depth_bow_peak,local_depth_bow_peak_frame,local_depth_footprint_final,local_depth_footprint_peak,mass_alt_kg,mass_alt_source,mass_source,n_carved,n_vehicle,n_water,parity_odd_columns_dropped,parity_total_columns,preflight_fill_ratio,realized_rho_mass_alt,scenario,solid_volume_m3,sound_speed_ms,substeps,term_acoustic,term_advective,term_viscous,vehicle_class,vehicle_key,water_eta,water_layers
rogue,64,1571.3,,1.5,0.09949348769898697,0.7109586000442505,4.950340735545737,316.7834730312085,896273,c642-002.vista (GH200),2026-08-07,0.4894939064979553,-0.022169768810272217,0.5116636753082275,0,150000.0,0.3,True,0.16316462606191637,1.0019856502009612,"[0.7102413177490234, -0.006415843963623047, -0.03127598762512207]",1.2440721064889846,-0.8195887095382387,0.7481401283431451,0.55,90,10.442536067962648,grid 64^3 lim=10.44m  water 49752 + vehicle 9135 particles (1571.3 kg)  dt=3.33e-03 (10 substeps/frame),0.08158231303095818,,39.732019083137,/work/11603/jcerrell0629/vista/hulls/rogue_g96_pd8_coarse_watertight.ply,True,3.542739,class_rogue_g64,102540,0.2674903556704521,0.43899753540754316,54,0.3769734188914299,0.41248622387647627,,,,424,9135,49752,0,1288,,,standing_water_sustained_inflow,4.9601703806221,12.84523257866513,10,281.16284604900306,18.386338218074208,0.0002253716220462775,,,0.001,4
rogue,64,1571.3,,1.5,0.09951358739347162,0.7117791175842285,4.950340735545736,316.7834730312085,3362208,c301-003.ls6 (A100),2026-08-13,0.4894939064979553,-0.02216923236846924,0.5116631388664246,0,150000.0,0.3,True,0.16316462606191637,1.0019856502009614,"[0.711061954498291, -0.00589752197265625, -0.0313953161239624]",1.240038879784092,-0.818205702953017,0.7406541876519583,0.55,90,10.442536067962648,grid 64^3 lim=10.44m  water 49752 + vehicle 9135 particles (1571.3 kg)  dt=3.33e-03 (10 substeps/frame),0.08158231303095818,4.950341,39.732019083136976,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/rogue_g96_pd8_coarse_watertight.ply,True,3.542739,rs_rogue_g64,102538,0.2674847528338432,0.43902203291654585,54,0.3770789787173271,0.4125309273600578,1571.3,Rogue web-sourced curb mass; the Rogue deck states no mass at all,explicit --mass,424,9135,49752,0,1288,1.0019856502009614,316.7834730312085,standing_water_sustained_inflow,4.9601703806221,12.84523257866513,10,281.16284604900306,18.386338218074208,0.0002253716220462775,large_passenger,rogue,0.001,4
rogue,96,1571.3,,1.5,0.10716495756718529,0.5685582756996155,4.950340735545738,317.4488871878957,3362208,c301-003.ls6 (A100),2026-08-13,0.3263292908668518,-0.012954890727996826,0.33928418159484863,0,150000.0,0.3,True,0.10877641737461091,0.9998853579543967,"[0.5682353973388672, -0.003494739532470703, -0.018835902214050293]",1.1029860114459087,-0.21426636931660567,-2.7125024802779594,0.55,90,10.442536067962648,grid 96^3 lim=10.44m  water 180992 + vehicle 30766 particles (1571.3 kg)  dt=2.22e-03 (15 substeps/frame),0.054388208687305456,4.950341,39.732019083137025,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/rogue_g96_pd8_coarse_watertight.ply,True,3.542739,rs_rogue_g96,95045,0.286297658085823,0.4709680467844009,54,0.4539469867944717,0.5585639268159865,1571.3,Rogue web-sourced curb mass; the Rogue deck states no mass at all,explicit --mass,2758,30766,180992,0,2919,0.9998853579543967,317.4488871878957,standing_water_sustained_inflow,4.9497732183573815,12.84523257866513,15,421.74426907350454,27.579507327111312,0.0005070861496041244,large_passenger,rogue,0.001,6
rogue,128,1571.3,,1.5,0.09876351621946336,0.24766382575035095,4.950340735545738,317.8839744754104,3362208,c301-003.ls6 (A100),2026-08-13,0.24474692344665527,0.0,0.24474692344665527,0,150000.0,0.3,True,0.08158231303095818,0.998516816463949,"[0.24746179580688477, -0.00971841812133789, -0.0023632049560546875]",1.4756997227782784,0.7746835241182841,-0.09137745235728419,0.55,90,10.442536067962648,grid 128^3 lim=10.44m  water 399520 + vehicle 72827 particles (1571.3 kg)  dt=1.75e-03 (19 substeps/frame),0.04079115651547909,4.950341,39.732019083137025,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/rogue_g96_pd8_coarse_watertight.ply,True,3.542739,rs_rogue_g128,484436,0.2685941897332668,0.48916791304945945,30,0.4118773780763149,0.44351528510451316,1571.3,Rogue web-sourced curb mass; the Rogue deck states no mass at all,explicit --mass,3680,72827,399520,0,5137,0.998516816463949,317.8839744754104,standing_water_sustained_inflow,4.9429984716689335,12.84523257866513,19,562.3256920980061,36.772676436148416,0.00090148648818511,large_passenger,rogue,0.001,7
silverado,64,2270.0,,1.5,0.08394398306464745,0.34980523586273193,7.962083114517729,285.7625139603319,896273,c642-002.vista (GH200),2026-08-07,0.6125593781471252,-4.470348358154297e-06,0.6125638484954834,0,150000.0,0.3,True,0.20418645292520524,0.9976860333074212,"[0.34955358505249023, 0.01318359375, -0.001481175422668457]",-0.0005310160460641665,0.00043312298198084113,-1.2022205492365545,0.55,90,13.067932987213135,grid 64^3 lim=13.07m  water 36846 + vehicle 7465 particles (2270.0 kg)  dt=4.17e-03 (8 substeps/frame),0.10209322646260262,,124.74371141982881,/work/11603/jcerrell0629/vista/hulls/silverado_g96_pd8_coarse_watertight.ply,True,3.542739,class_silverado_g64,72217,0.2955535247921943,0.418080885708332,42,0.3233825162053108,0.35829981118440624,,,,117,7465,36846,0,1197,,,standing_water_sustained_inflow,7.943659119387191,12.84523257866513,8,224.6761721008707,14.69245367173756,0.00014391212993076968,,,0.001,3
silverado,64,2270.0,,1.5,0.0836183032079466,0.34623539447784424,7.962083114517729,285.7625139603319,3362208,c301-003.ls6 (A100),2026-08-13,0.6125593781471252,-5.066394805908203e-06,0.6125644445419312,0,150000.0,0.3,True,0.20418645292520524,0.9976860333074212,"[0.3459935188293457, 0.012874126434326172, -0.001295328140258789]",0.004720463630562151,-0.002712763416516122,-1.475966527042732,0.55,90,13.067932987213135,grid 64^3 lim=13.07m  water 36846 + vehicle 7465 particles (2270.0 kg)  dt=4.17e-03 (8 substeps/frame),0.10209322646260262,7.962083,124.74371141982881,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/silverado_g96_pd8_coarse_watertight.ply,True,3.542739,rs_silverado_g64,72206,0.2950052216649055,0.4186667993664741,42,0.324392993748188,0.358733494579792,2270.0,Silverado deck header line 28 mass,explicit --mass,117,7465,36846,0,1197,0.9976860333074212,285.7625139603319,standing_water_sustained_inflow,7.943659119387191,12.84523257866513,8,224.6761721008707,14.69245367173756,0.00014391212993076968,large_4wd,silverado,0.001,3
silverado,96,2270.0,,1.5,0.08950434925324142,0.09052509814500809,7.962083114517729,283.717210658076,3362208,c301-003.ls6 (A100),2026-08-13,0.4083728790283203,-5.960464477539063e-08,0.4083729386329651,0,150000.0,0.3,True,0.13612430195013683,1.0048783024468408,"[0.09052276611328125, 0.0006489753723144531, -2.3365020751953125e-05]",-0.0005468068460338126,-0.0010876731283669002,-0.6133025891735732,0.55,90,13.067932987213135,grid 96^3 lim=13.07m  water 121860 + vehicle 25376 particles (2270.0 kg)  dt=2.78e-03 (12 substeps/frame),0.06806215097506842,7.962083,124.74371141982881,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/silverado_g96_pd8_coarse_watertight.ply,True,3.542739,rs_silverado_g96,74792,0.3587200373411178,0.3864707082509994,26,0.344194683432579,0.3826000422239303,2270.0,Silverado deck header line 28 mass,explicit --mass,640,25376,121860,0,2663,1.0048783024468408,283.717210658076,standing_water_sustained_inflow,8.00092456405723,12.84523257866513,12,337.014258151306,22.038680507606337,0.0003238022923442317,large_4wd,silverado,0.001,4
silverado,128,2270.0,,1.5,0.09678693743809023,0.07626186311244965,7.962083114517729,285.29434841872046,3362208,c301-003.ls6 (A100),2026-08-13,0.30627965927124023,-5.960464477539063e-08,0.306279718875885,0,150000.0,0.3,True,0.10209322646260262,0.9993232274009264,"[0.07623910903930664, 0.0018625259399414062, -2.7298927307128906e-05]",0.0009841607860696638,0.0009105214542150582,-1.1047778688859793,0.55,90,13.067932987213135,grid 128^3 lim=13.07m  water 344251 + vehicle 59818 particles (2270.0 kg)  dt=2.22e-03 (15 substeps/frame),0.05104661323130131,7.962083,124.74371141982881,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/silverado_g96_pd8_coarse_watertight.ply,True,3.542739,rs_silverado_g128,381641,0.36814562454819677,0.5126147665083408,41,0.45528451576828954,0.5102832712233066,2270.0,Silverado deck header line 28 mass,explicit --mass,1349,59818,344251,0,4677,0.9993232274009264,285.29434841872046,standing_water_sustained_inflow,7.956694594834277,12.84523257866513,15,449.3523442017414,29.38490734347512,0.0005756485197230787,large_4wd,silverado,0.001,6
