label,arm,vehicle,job_id,mass_kg,n_grid,dx_m,water_layers,hull_m3,hull_ref_delta_pct,tripwire,fill_ratio,realized_rho,solid_volume_m3,final_disp_mag_m,final_roll_deg,final_pitch_deg,final_yaw_deg,passthrough_max_frac,C2_veh_zmin_rise,C3_oob_particle_frames,P1_oob,P2_passthrough,P3_float,verdict,hull_source,rogue_g64_p3_fail,silverado_g64_water_layers_degraded
class_rogue_g64,canonical_g64,rogue,896273,1571.3,64,0.16316462606191637,4,4.950340735545737,39.732019083137,PASS,1.0019856502009612,316.7834730312085,4.9601703806221,0.7109586000442505,-0.8195887095382387,1.2440721064889846,0.7481401283431451,0.09949348769898697,-0.022169768810272217,0,PASS,PASS,FAIL FLOAT LIVE,NO-FORD,/work/11603/jcerrell0629/vista/hulls/rogue_g96_pd8_coarse_watertight.ply,"P-3 FAIL, z-min sank -0.02217 m",
class_silverado_g64,canonical_g64,silverado,896273,2270.0,64,0.20418645292520524,3,7.962083114517729,124.74371141982881,PASS,0.9976860333074212,285.7625139603319,7.943659119387191,0.34980523586273193,0.00043312298198084113,-0.0005310160460641665,-1.2022205492365545,0.08394398306464745,-4.470348358154297e-06,0,PASS,PASS,PASS,NO-FORD,/work/11603/jcerrell0629/vista/hulls/silverado_g96_pd8_coarse_watertight.ply,,"3 layers, canonical is 4"
hull_rogue_dxm,A_matched_dx,rogue,896302,1100.0,106,0.09851449120719478,6,4.950340735545737,39.732019083137,PASS,0.9954275986279245,223.2276127481949,4.9277057907742865,0.6919863820075989,-0.10698568859080626,1.051884670509989,-4.609695524615252,0.12303274590399667,-0.00486224889755249,0,PASS,FAIL,PASS,NO-FORD,/work/11603/jcerrell0629/vista/hulls/rogue_g96_pd8_coarse_watertight.ply,,
hull_silverado_dxm,A_matched_dx,silverado,896302,1100.0,133,0.09825513524220403,6,7.962083114517729,124.74371141982881,PASS,0.9993781429553749,138.24076596030957,7.957131837043075,0.3353763818740845,-0.002030382745341219,-0.00016757729629599734,-1.8257091382575852,0.10581200360183543,5.960464477539063e-08,0,PASS,FAIL,PASS,NO-FORD,/work/11603/jcerrell0629/vista/hulls/silverado_g96_pd8_coarse_watertight.ply,,
hull_yaris_dxm,A_matched_dx,yaris,896302,1100.0,96,0.0981431491013306,6,3.542738790016075,-5.927163274369932e-06,PASS,0.9940893068024432,312.3403915798839,3.5217987479492066,0.2708560526371002,0.0005483865669863344,0.0005945474045615722,-1.3306546793375338,0.09680285671444518,0.0,0,PASS,PASS,PASS,NO-FORD,/work/11603/jcerrell0629/vista/can-it-ford/vehicle_geometry_research/yaris_coarse_v1l_watertight.ply,,
hull_rogue_g96,B_fixed_g96,rogue,896302,1100.0,96,0.10877641737461091,6,4.950340735545736,39.732019083136976,PASS,0.999885357954397,222.2324036827374,4.9497732183573815,0.9363954663276672,-0.27152189745769206,1.0641596943872653,-2.8801573708621504,0.1209279968175389,-0.024490535259246826,0,PASS,FAIL,FAIL FLOAT LIVE,NO-FORD,/work/11603/jcerrell0629/vista/hulls/rogue_g96_pd8_coarse_watertight.ply,"P-3 FAIL, z-min sank -0.02449 m",
hull_silverado_g96,B_fixed_g96,silverado,896302,1100.0,96,0.13612430195013683,4,7.962083114517729,124.74371141982881,PASS,1.0048783024468408,137.48411089157867,8.00092456405723,0.2350327968597412,0.0015410456942013407,-0.001482233175580419,-0.6685292042856219,0.09292630887904152,-5.960464477539063e-08,0,PASS,PASS,PASS,NO-FORD,/work/11603/jcerrell0629/vista/hulls/silverado_g96_pd8_coarse_watertight.ply,,
