set,run_dir,vehicle_class,mass_kg,n_grid,h_m,lim_m,n_water,n_vehicle_particles,realized_rho_kgm3,density_plausible,requested_depth_m,nominal_depth_m,local_depth_peak_m,velocity_ms,dxv_requested,dxv_nominal,dxv_local_peak,total_head_he_m,L0_verdict,L1a_verdict_requested,L1a_binding_requested,L1a_verdict_nominal,L1a_binding_nominal,L1a_verdict_local_peak,L1a_binding_local_peak,L1b_verdict,L2_verdict,L2_final_disp_m,L2_peak_disp_m,L2_peak_yaw_deg,L2_onset_frame,rungs_agreeing_no_ford
A_superseded,m1100,small_passenger,1100.0,64,0.07360638678073883,9.42161750793457,23532,8905,309.7506761395866,False,0.30000001192092896,0.2944255471229553,,1.5,0.45000001788139343,0.441638320684433,,0.4091044462055241,NO-FORD,NO-FORD,depth cap,NO-FORD,DxV product,,,NO-FORD,NO-FORD,0.0924069364235558,0.0924069364235558,1.3882785663329713,28,4
A_superseded,m1609,large_passenger,1609.0,64,0.07360634207725525,9.421611785888672,23532,8904,453.1324724206308,False,0.30000001192092896,0.294425368309021,,1.5,0.45000001788139343,0.4416380524635315,,0.4091042673915898,NO-FORD,FORD,,FORD,,,,NO-FORD,NO-FORD,0.05103347419581576,0.05103347419581576,0.5249324848112731,87,3
A_superseded,m2337,large_4wd,2337.0,64,0.07360687851905823,9.421680450439453,23532,8904,658.140108827923,False,0.30000001192092896,0.2944275140762329,,1.5,0.45000001788139343,0.44164127111434937,,0.4091064131588017,NO-FORD,FORD,,FORD,,,,NO-FORD,FORD,0.03868914609922785,0.039031596772371335,0.6242664710818668,,2
B_current,g64_m1100,small_passenger,1100.0,64,0.07360736280679703,9.42174243927002,48367,8905,309.7383545166748,False,0.30000001192092896,0.2944294512271881,0.37501099705696106,1.5,0.45000001788139343,0.44164417684078217,0.5625164955854416,0.4091083503097569,NO-FORD,NO-FORD,depth cap,NO-FORD,DxV product,NO-FORD,depth cap,NO-FORD,NO-FORD,0.6370187357363596,0.6441376082687031,2.1108103011723367,3,4
B_current,g64_m1609,large_passenger,1609.0,64,0.07360736280679703,9.42174243927002,48367,8905,453.06273856120885,False,0.30000001192092896,0.2944294512271881,0.3829974830150604,1.5,0.45000001788139343,0.44164417684078217,0.5744962245225906,0.4091083503097569,NO-FORD,FORD,,FORD,,NO-FORD,DxV product,NO-FORD,NO-FORD,0.296321332725354,0.30397177580212376,2.411337626130532,3,3
B_current,g64_m2337,large_4wd,2337.0,64,0.07360736280679703,9.42174243927002,48367,8905,658.05321318679,False,0.30000001192092896,0.2944294512271881,0.29873839020729065,1.5,0.45000001788139343,0.44164417684078217,0.448107585310936,0.4091083503097569,NO-FORD,FORD,,FORD,,FORD,,NO-FORD,NO-FORD,0.12330039565267378,0.1298817599507284,0.30245609786962346,4,3
