cite_key	verdict	evidence	file	title
Liu23e	ABSENT	0 phrase candidates, none verified		Research on launching, water exiting, and river crossing of 
Loe09	ABSENT	0 phrase candidates, none verified		Choosing the Sample Size of a Computer Experiment: A Practic
Lop18b	ABSENT	0 phrase candidates, none verified		Smoothed Particle Hydrodynamics Method for Three-Dimensional
Lyu23	ABSENT	0 phrase candidates, none verified		Numerical investigation of vehicle wading based on an entire
Mac97	ABSENT	0 phrase candidates, none verified		A Comparison of Moment of Inertia Estimation Techniques for 
Mao16	ABSENT	0 phrase candidates, none verified		Modeling of Free Surface Flows Using Improved Material Point
Mar05	ABSENT	0 phrase candidates, none verified		Use of Kriging Models to Approximate Deterministic Computer 
Mar10b	ABSENT	0 phrase candidates, none verified		Fast free-surface detection and level-set function definitio
Mar13	ABSENT	0 phrase candidates, none verified		Extended Validation of the Finite Element Model for the 2010
Mar13b	ABSENT	0 phrase candidates, none verified		Extended Validation of the Finite Element Model for the 2007
Mar14b	ABSENT	0 phrase candidates, none verified		Development and Validation of a Finite Element Model for a M
Mar19b	ABSENT	0 phrase candidates, none verified		Estabilidad de vehiculos frente a inundaciones: estudio nume
Maz18	ABSENT	0 phrase candidates, none verified		A differential variational approach for handling fluid-solid
Mcc03	ABSENT	0 phrase candidates, none verified		NHTSA's vehicle parameter database and NHTSA's crash test da
Mec01	ABSENT	0 phrase candidates, none verified		Metamodeling of Combined Discrete/Continuous Responses
Mec02	ABSENT	0 phrase candidates, none verified		Computationally Inexpensive Metamodel Assessment Strategies
Mil20	ABSENT	1 phrase candidates, none verified		A conceptual model of vehicles stability in flood flows
Mof82	ABSENT	0 phrase candidates, none verified		Contributions to the Theory of Single-Sample Uncertainty Ana
Moh10	ABSENT	0 phrase candidates, none verified		Modeling, Testing, and Validation of the 2007 Chevy Silverad
Mon09	ABSENT	1 phrase candidates, none verified		SPH particle boundary forces for arbitrary boundaries
Mor14	ABSENT	0 phrase candidates, none verified		Stability and Drag Analysis of Wheeled Amphibious Vehicle Us
Naf24	ABSENT	0 phrase candidates, none verified		Enhanced Drag Force Estimation in Automotive Design: A Surro
Neg21d	ABSENT	0 phrase candidates, none verified		Numerical Investigation of Accuracy, Convergence, and Conser
Neg22b	ABSENT	0 phrase candidates, none verified		Identifying second order accurate boundary conditions for WC
Omi17	ABSENT	0 phrase candidates, none verified		SPH for impact force and ricochet behavior of water-entry bo
Opi07	ABSENT	0 phrase candidates, none verified		NCAC Vehicle Model Development Update
Opi12	ABSENT	0 phrase candidates, none verified		Extended Validation of the Finite Element Model for the 2010
Pah17	ABSENT	0 phrase candidates, none verified		Robust boundary treatment for open-channel flows in divergen
Pap16	ABSENT	0 phrase candidates, none verified		Statistical processing and convergence of finite-record-leng
Par23b	ABSENT	0 phrase candidates, none verified		Analysis of Roll Decay for Surface-ship Model Experiments wi
Paz14	ABSENT	0 phrase candidates, none verified		A comparative study of four fluid-solid coupling methods for
Paz16	ABSENT	0 phrase candidates, none verified		Investigation of the Vehicle Mobility in Fording
Qiu22	ABSENT	0 phrase candidates, none verified		A Sparse Distributed Gigascale Resolution Material Point Met
Ran20b	ABSENT	0 phrase candidates, none verified		A Blind Comparative Study of Focused Wave Interactions with 
Ray07	ABSENT	0 phrase candidates, none verified		Quantitative Evaluation of the Fidelity of Public-Domain Veh
Rem19	ABSENT	0 phrase candidates, none verified		Implementation of non-trivial boundary conditions in MPM for
Roa94	ABSENT	0 phrase candidates, none verified		Perspective: A Method for Uniform Reporting of Grid Refineme
Roa98	ABSENT	0 phrase candidates, none verified		Verification of Codes and Calculations
Ros15	ABSENT	0 phrase candidates, none verified		The Performance of Photo Based Vehicle Models using HVE DyMe
Roy05	ABSENT	0 phrase candidates, none verified		Review of code and solution verification procedures for comp
Roy10	ABSENT	0 phrase candidates, none verified		Review of Discretization Error Estimators in Scientific Comp
Roy11	ABSENT	0 phrase candidates, none verified		A comprehensive framework for verification, validation, and 
Rus07	ABSENT	0 phrase candidates, none verified		A Comprehensive Set of Code Validation Data for Planing Boat
Sch85	ABSENT	0 phrase candidates, none verified		Statistical errors in molecular dynamics averages
Sci19	FOUND_LOCAL	title-page token overlap	/Users/josie/can-it-ford-refs/2026-08-16/energies-14-00269-s001/Datafile/Descriptions/Highly accurate experimental tests with a floating sphere - Kramer Sphere Cases.pdf	Ocean Energy Systems Wave Energy Modelling Task: Modelling, 
Sed16	ABSENT	0 phrase candidates, none verified		Development and Validation of a Finite Element Model for the
Shi10	ABSENT	0 phrase candidates, none verified		Dynamic Meshing for Material Point Method Computations
Shi19d	ABSENT	0 phrase candidates, none verified		A Meshless WCSPH Boundary Treatment for Open-Channel Flow ov
Sim01b	ABSENT	0 phrase candidates, none verified		Sampling Strategies for Computer Experiments: Design and Ana
Ski13	ABSENT	0 phrase candidates, none verified		Incompressible smoothed particle hydrodynamics (SPH) with re
Slo69	ABSENT	0 phrase candidates, none verified		Studies of Off-Road Vehicles in the Riverine Environment. Vo
Smi17	ABSENT	0 phrase candidates, none verified		Experimental testing of flood hazard curves for a partially 
Smi19	ABSENT	1 phrase candidates, none verified		Full-scale testing of stability curves for vehicles in flood
Sol04	ABSENT	0 phrase candidates, none verified		Crashworthiness Simulations Comparing PAM-CRASH and LS-DYNA
Ste00	ABSENT	0 phrase candidates, none verified		Analysis and Reduction of Quadrature Errors in the Material 
Ste01	ABSENT	0 phrase candidates, none verified		Comprehensive Approach to Verification and Validation of CFD
Ste15	ABSENT	0 phrase candidates, none verified		Uncertainty Analysis in Ship-Model Resistance Test
Str86	ABSENT	0 phrase candidates, none verified		Estimation of statistical errors in molecular simulation cal
Su26	ABSENT	0 phrase candidates, none verified		Automated Collision Proxy Reconstruction for Non-Manifold Me
