cite_key	doi	oa_status	host_type	license	version	http	is_pdf	bytes	file	url
Mon09	10.1016/j.cpc.2009.05.008	green	repository	cc-by	submittedVersion	202	NO	2009		https://figshare.com/articles/journal_contribution/SPH_particle_boundary_forces_for_arbitrary_boundaries/22986665
Sun15b	10.1016/j.oceaneng.2015.01.019	closed					NO	0		
Sun16	10.1504/pcfd.2018.089497	closed					NO	0		
Mao16	10.1061/(asce)em.1943-7889.0000981	closed					NO	0		
Zho21	10.1016/j.jnnfm.2021.104678	closed					NO	0		
Zha19e	10.1016/j.compfluid.2018.10.007	bronze	repository	cc-by-nc-nd	submittedVersion	200	NO	25213		http://resolver.tudelft.nl/uuid:d257b512-074b-48dc-8e62-a5093f4ed54f
Zha19e	10.1016/j.compfluid.2018.10.007	bronze	repository	cc-by-nc-nd	submittedVersion	200	NO	25213		http://resolver.tudelft.nl/uuid:d257b512-074b-48dc-8e62-a5093f4ed54f
Zha19e	10.1016/j.compfluid.2018.10.007	bronze	repository			200	NO	480452		https://doi.org/10.17863/cam.33021
Zha19e	10.1016/j.compfluid.2018.10.007	bronze	publisher		publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S004579301830728X
Tel24	10.1007/s00466-024-02510-3	closed					NO	0		
Sun19c	10.1504/pcfd.2019.097597	closed					NO	0		
Cha24c	10.1016/j.jcp.2024.113457	hybrid	publisher	cc-by	publishedVersion	200	NO	2741		https://doi.org/10.1016/j.jcp.2024.113457
He25	10.1016/j.cma.2025.118264	closed					NO	0		
Vau20	10.1016/bs.aams.2019.11.001	green	repository	cc-by	submittedVersion	202	NO	2009		https://figshare.com/articles/journal_contribution/Material_point_method_after_25_years_Theory_implementation_and_applications/20687032
Zha17	10.1016/j.proeng.2017.01.041	gold	repository	cc-by-nd	submittedVersion	200	NO	485417		https://www.repository.cam.ac.uk/handle/1810/277749
Zha17	10.1016/j.proeng.2017.01.041	gold	repository			200	NO	485372		https://doi.org/10.17863/cam.25087
Zha17	10.1016/j.proeng.2017.01.041	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S1877705817300413/pdf
Zha17	10.1016/j.proeng.2017.01.041	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S1877705817300413/pdf
Bro19	10.1016/j.oceaneng.2019.04.068	closed					NO	0		
Tho07	10.1080/14484846.2007.11464528	green	repository	cc-by	submittedVersion	202	NO	2009		https://figshare.com/articles/journal_contribution/Water_Stilling_for_Towing_Tank_seakeeping_experiments/22867007
Ste15	10.1115/omae2015-41250	closed					NO	0		
Cho15	10.1021/acs.jctc.5b00784	closed					NO	0		
Fly89	10.1007/bfb0105461	closed					NO	0		
Gro18	10.33011/livecoms.1.1.5067	gold	repository		submittedVersion	200	NO	20334		https://www.ncbi.nlm.nih.gov/pmc/articles/6286151
Gro18	10.33011/livecoms.1.1.5067	gold	publisher	cc-by	publishedVersion	200	NO	31337		https://doi.org/10.33011/livecoms.1.1.5067
Dur20	10.1016/j.oceaneng.2019.106685	closed					NO	0		
Ber21d	10.1115/1.4052402	bronze	publisher		publishedVersion	403	NO	0		https://asmedigitalcollection.asme.org/turbomachinery/article-pdf/144/3/031005/6764616/turbo_144_3_031005.pdf
Ber21d	10.1115/1.4052402	bronze	publisher		publishedVersion	403	NO	0		https://asmedigitalcollection.asme.org/turbomachinery/article-pdf/144/3/031005/6764616/turbo_144_3_031005.pdf
Dan02	10.1061/(asce)0733-9429(2002)128:12(1069)	closed					NO	0		
Xu19b	10.1016/j.parco.2019.04.002	closed					NO	0		
Lin21d	10.1016/j.oceaneng.2021.108983	closed					NO	0		
Tod19	10.1115/1.4044632	closed					NO	0		
Par23b	10.1115/1.4063010	closed					NO	0		
Sya17	10.1002/aic.15868	green	repository		submittedVersion	0	NO	0		https://www.osti.gov/biblio/1440343
Sch85	10.1063/1.449733	closed					NO	0		
Pap16	10.1007/s00348-016-2211-z	closed					NO	0		
Mof82	10.1115/1.3241818	closed					NO	0		
Str86	10.1080/00268978600100071	closed					NO	0		
He26d	10.1115/1.4071177	closed					NO	0		
Smi19	10.1111/jfr3.12527	closed					NO	0		
Xin21b	10.1177/0954407020942005	closed					NO	0		
Sha20	10.1111/jfr3.12657	gold	repository	cc-by	acceptedVersion	200	NO	444371		https://hdl.handle.net/2117/335960
Sha20	10.1111/jfr3.12657	gold	repository	cc-by	submittedVersion	200	NO	444371		http://hdl.handle.net/2117/335960
Sha20	10.1111/jfr3.12657	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/139fed1e980a4e3381c99bbaffa22a56
Sha20	10.1111/jfr3.12657	gold	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.12657
Mar17	10.1080/1573062x.2017.1301501	green	repository	other-oa	acceptedVersion	200	NO	447637		http://hdl.handle.net/2117/107465
Kra16	10.1016/j.ijdrr.2016.04.003	green	repository	cc-by-nc-nd	submittedVersion	200	NO	397714		http://hdl.handle.net/1959.4/unsworks_55729
Teo12	10.1080/15715124.2012.674040	closed					NO	0		
Arr15	10.1016/j.jfluidstructs.2015.06.010	closed					NO	0		
Alq22	10.1111/jfr3.12828	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/d36599ed2ff74ea2baa9dc9811140d1a
Alq22	10.1111/jfr3.12828	gold	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.12828
Alq22	10.1111/jfr3.12828	gold	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.12828
Mor14	10.4028/www.scientific.net/amm.592-594.1210	hybrid	publisher	cc-by	publishedVersion	200	NO	69459		https://doi.org/10.4028/www.scientific.net/amm.592-594.1210
Alq21	10.1007/s11069-021-04949-6	closed					NO	0		
Hu23	10.1016/j.jhydrol.2023.129525	hybrid	publisher	cc-by-nc-nd	publishedVersion	200	NO	2733		https://doi.org/10.1016/j.jhydrol.2023.129525
Xia13b	10.1007/s11069-013-0889-2	closed					NO	0		
Shu11	10.1080/00221686.2011.616318	closed					NO	0		
Bon67	10.5040/9781350980365	closed					NO	0		
Sha19d	10.1016/j.rineng.2019.100032	gold	repository	other-oa	acceptedVersion	200	NO	445107		http://hdl.handle.net/2117/168992
Sha19d	10.1016/j.rineng.2019.100032	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/8e6310f016194756849cf4f55ade37c2
Sha19d	10.1016/j.rineng.2019.100032	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S2590123019300325?via%3Dihub
Sha19d	10.1016/j.rineng.2019.100032	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/pii/S2590123019300325?via%3Dihub
Ran20b	10.17736/ijope.2020.jc774	green	repository	other-oa	publishedVersion	200	NO	67274		https://researchportal.bath.ac.uk/en/publications/7b54644e-2399-4d9c-94fc-1107a92cead7
Ran20b	10.17736/ijope.2020.jc774	green	repository	cc-by-sa	acceptedVersion	0	NO	0		https://eprints.gla.ac.uk/249391/
Ran20b	10.17736/ijope.2020.jc774	green	repository		submittedVersion	404	NO	0		http://hdl.handle.net/10026.1/15422
Ran20b	10.17736/ijope.2020.jc774	green	repository		submittedVersion	404	NO	0		http://hdl.handle.net/10026.1/15422
Can18	10.1016/j.apor.2018.04.015	closed					NO	0		
Was15	10.1115/detc2015-47142	closed					NO	0		
Lyu23	10.1016/j.compfluid.2023.106144	closed					NO	0		
Sha18c	10.1051/matecconf/201820307003	gold	publisher	cc-by	publishedVersion	403	NO	0		https://www.matec-conferences.org/articles/matecconf/pdf/2018/62/matecconf_iccoee2018_07003.pdf
Sha18c	10.1051/matecconf/201820307003	gold	publisher	cc-by	publishedVersion	403	NO	0		https://www.matec-conferences.org/articles/matecconf/pdf/2018/62/matecconf_iccoee2018_07003.pdf
Roe23	10.1098/rsos.231453/v1/review2	closed					NO	0		
Yam22	10.1016/j.oceaneng.2022.111607	closed					NO	0		
Zha23h	10.1007/s11433-023-2137-5	closed					NO	0		
Maz18	10.1016/j.jcp.2018.05.013	closed					NO	0		
Che25l	10.1016/j.apor.2025.104824	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/fe676f43e52e4cf6b4dee3ea810b3405
Che25l	10.1016/j.apor.2025.104824	gold	publisher	cc-by	publishedVersion	200	NO	2692		https://doi.org/10.1016/j.apor.2025.104824
Azh23	10.1111/jfr3.12885	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/8930e12c4020412a9d15c3c4ef95571d
Azh23	10.1111/jfr3.12885	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://doi.org/10.1111/jfr3.12885
Kaz16	10.1002/fld.4248	hybrid	repository	cc-by	submittedVersion	200	NO	248273		https://www.ncbi.nlm.nih.gov/pmc/articles/5175435
Kaz16	10.1002/fld.4248	hybrid	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/fld.4248
Kaz16	10.1002/fld.4248	hybrid	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/fld.4248
Taf18	10.1016/j.cma.2018.08.004	closed					NO	0		
Las09	10.1002/fld.1971	green	repository		submittedVersion	403	NO	0		https://researchrepository.universityofgalway.ie/bitstreams/7e06b007-c44d-40d9-a0d4-537ff381dd6f/download
Las09	10.1002/fld.1971	green	repository		submittedVersion	403	NO	0		https://researchrepository.universityofgalway.ie/bitstreams/7e06b007-c44d-40d9-a0d4-537ff381dd6f/download
Vac12	10.1061/(asce)hy.1943-7900.0000543	closed					NO	0		
Hol20	10.1016/j.jcp.2020.110029	closed					NO	0		
Kaz20	10.1016/j.advwatres.2020.103557	closed					NO	0		
Shi19d	10.1155/2019/1573049	hybrid	publisher	cc-by	publishedVersion	403	NO	0		https://downloads.hindawi.com/journals/mpe/2019/1573049.pdf
Shi19d	10.1155/2019/1573049	hybrid	publisher	cc-by	publishedVersion	403	NO	0		https://downloads.hindawi.com/journals/mpe/2019/1573049.pdf
Mil20	10.1080/00221686.2019.1647887	closed					NO	0		
Pah17	10.1016/j.jhydrol.2017.01.034	closed					NO	0		
Yam24b	10.1115/1.4064971	closed					NO	0		
Var22	10.4271/2022-01-0768	closed					NO	0		
Kha14	10.4271/2014-01-0936	closed					NO	0		
Tis21	10.4271/2024-01-3805	closed					NO	0		
Liu23e	10.1063/5.0174148	bronze	publisher		publishedVersion	403	NO	0		https://pubs.aip.org/aip/pof/article-pdf/doi/10.1063/5.0174148/18224231/113328_1_5.0174148.pdf
Liu23e	10.1063/5.0174148	bronze	publisher		publishedVersion	403	NO	0		https://pubs.aip.org/aip/pof/article-pdf/doi/10.1063/5.0174148/18224231/113328_1_5.0174148.pdf
Beh20	10.1016/j.oceaneng.2020.107460	bronze	publisher		publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/am/pii/S0029801820304790?via%3Dihub
Beh20	10.1016/j.oceaneng.2020.107460	bronze	publisher		publishedVersion	403	NO	0		https://www.sciencedirect.com/science/article/am/pii/S0029801820304790?via%3Dihub
Xio24	10.1029/2023wr036739	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/2c5b33671be44c48bca4d8a4d2c40579
Xio24	10.1029/2023wr036739	gold	repository	cc-by	submittedVersion	202	NO	2009		https://figshare.com/articles/journal_contribution/Simulation_of_the_full_process_dynamics_of_floating_vehicles_driven_by_flash_floods/27961596
Xio24	10.1029/2023wr036739	gold	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023WR036739
Xio24	10.1029/2023wr036739	gold	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023WR036739
Gup99	10.4271/1999-01-0083	closed					NO	0		
Kir99	10.4271/2000-01-0627	closed					NO	0		
Elr24b	10.52202/079017-0016	closed					NO	0		
Elr24	10.1115/detc2024-143593	closed					NO	0		
Sol04	10.4271/2004-01-1174	closed					NO	0		
Azh26	10.1111/jfr3.70181	gold	publisher	cc-by-nc-nd	publishedVersion	403	NO	0		https://doi.org/10.1111/jfr3.70181
Zha21g	10.1016/j.compgeo.2021.104097	green	repository		submittedVersion	202	NO	2009		https://figshare.com/articles/journal_contribution/Truncated_hierarchical_B-spline_material_point_method_for_large_deformation_geotechnical_problems/27543594
Sun20d	10.1002/nme.6312	closed					NO	0		
Lia15	10.1016/j.cma.2015.02.020	closed					NO	0		
He25c	10.1002/nag.70048	closed					NO	0		
Gao17c	10.1145/3130800.3130879	closed					NO	0		
Lia12b	10.1016/j.cma.2012.06.015	closed					NO	0		
Slo69	10.21236/ad0697160	closed					NO	0		
Els18	10.1115/detc2018-85006	closed					NO	0		
He24	10.5194/egusphere-egu24-6148	gold	?	cc-by	acceptedVersion	200	NO	151284		https://doi.org/10.5194/egusphere-egu24-6148
Arr19b	10.1016/j.scitotenv.2018.11.191	hybrid	repository	cc-by	publishedVersion	200	NO	57697		https://research-information.bris.ac.uk/en/publications/1d798ac4-bcf9-4542-9357-37efb5aaf399
Arr19b	10.1016/j.scitotenv.2018.11.191	hybrid	repository	other-oa	submittedVersion	403	NO	0		https://flore.unifi.it/bitstream/2158/1143809/1/Arrighi_etal_2019.pdf
Arr19b	10.1016/j.scitotenv.2018.11.191	hybrid	repository	other-oa	submittedVersion	403	NO	0		https://flore.unifi.it/bitstream/2158/1143809/1/Arrighi_etal_2019.pdf
Arr19b	10.1016/j.scitotenv.2018.11.191	hybrid	repository		submittedVersion	200	YES	8805477	Arr19b_10.1016_j.scitotenv.2018.11.191.pdf	https://research-information.bris.ac.uk/ws/files/191868335/Full_text_PDF_final_published_version_.pdf
Eva23	10.1016/j.scitotenv.2023.168237	hybrid	repository		submittedVersion	403	NO	0		https://orca.cardiff.ac.uk/id/eprint/164462/1/1-s2.0-S004896972306864X-main.pdf
Eva23	10.1016/j.scitotenv.2023.168237	hybrid	repository		submittedVersion	403	NO	0		https://orca.cardiff.ac.uk/id/eprint/164462/1/1-s2.0-S004896972306864X-main.pdf
Eva23	10.1016/j.scitotenv.2023.168237	hybrid	repository	cc-by	submittedVersion	202	NO	2009		https://figshare.com/articles/journal_contribution/A_combined_stability_function_to_quantify_flood_risks_to_pedestrians_and_vehicle_occupants/29806286
Eva23	10.1016/j.scitotenv.2023.168237	hybrid	repository	cc-by	submittedVersion	202	NO	2009		http://hdl.handle.net/10871/134624
Das25	10.1111/jfr3.70154	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/1e224e0708c741fc81f005f60b2da874
Das25	10.1111/jfr3.70154	gold	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.70154
Das25	10.1111/jfr3.70154	gold	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.70154
Boc21	10.1111/jfr3.12737	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/7d9b3b52680e4f15b2e90afe35f07a6a
Boc21	10.1111/jfr3.12737	gold	repository	cc-by-nc-nd	submittedVersion	200	NO	339843		http://hdl.handle.net/10251/179433
Boc21	10.1111/jfr3.12737	gold	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.12737
Boc21	10.1111/jfr3.12737	gold	publisher	cc-by	publishedVersion	403	NO	0		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.12737
Con18	10.1155/2018/2850546	gold	publisher	cc-by	publishedVersion	403	NO	0		http://downloads.hindawi.com/journals/jat/2018/2850546.pdf
Con18	10.1155/2018/2850546	gold	publisher	cc-by	publishedVersion	403	NO	0		http://downloads.hindawi.com/journals/jat/2018/2850546.pdf
Pre17b	10.1061/(asce)is.1943-555x.0000372	hybrid	repository	cc-by	submittedVersion	200	YES	3602036	Pre17b_10.1061_(asce)is.1943-555x.0000372.pdf	https://research-information.bris.ac.uk/ws/files/191868221/Full_text_PDF_final_published_version_.pdf
Arr19	10.3850/38wc092019-1786	green	repository	cc-by-nc-nd	submittedVersion	403	NO	0		https://flore.unifi.it/bitstream/2158/1181254/1/322.pdf
Arr19	10.3850/38wc092019-1786	green	repository	cc-by-nc-nd	submittedVersion	403	NO	0		https://flore.unifi.it/bitstream/2158/1181254/1/322.pdf
Buc21	10.1016/j.ress.2021.108202	closed					NO	0		
Xia11	10.1016/j.envsoft.2011.02.017	closed					NO	0		
Eri13	10.4271/2013-01-0784	closed					NO	0		
Pfa25	10.1109/iros60139.2025.11246653	closed					NO	0		
Pre24	10.3390/wevj15060266	gold	repository	other-oa	submittedVersion	403	NO	0		https://hdl.handle.net/11311/1278326
Pre24	10.3390/wevj15060266	gold	publisher	cc-by	publishedVersion	403	NO	0		https://doi.org/10.3390/wevj15060266
Far25b	10.1109/access.2025.3567868	gold	repository	cc-by-sa	submittedVersion	403	NO	0		https://doaj.org/article/f3b83678ad4040d6920cfc8d8f2fabfe
Far25b	10.1109/access.2025.3567868	gold	publisher	cc-by	publishedVersion	202	NO	2055		https://doi.org/10.1109/access.2025.3567868
Wei22	10.1145/3528223.3530103	hybrid	repository		submittedVersion	200	YES	23179566	Wei22_10.1145_3528223.3530103.pdf	https://arxiv.org/pdf/2205.02961
Mac97	10.4271/970951	closed					NO	0		
Su26	10.1109/csecs69124.2026.11541955	closed					NO	0		
Gob14	10.1115/detc2014-34300	closed					NO	0		
Mad21	10.1145/3528223.3530093	green	repository		submittedVersion	200	YES	21238726	Mad21_10.1145_3528223.3530093.pdf	https://arxiv.org/pdf/2108.10480
Kno26	10.1111/cgf.70411	closed					NO	0		
Bon25	10.1002/nme.70210	closed					NO	0		
Wan20d	10.1145/3386569.3392442	green	repository		submittedVersion	0	NO	0		https://www.osti.gov/biblio/1820872
Val12	10.1016/j.jpdc.2012.07.010	bronze	repository	cc-by-nc-nd	submittedVersion	200	YES	775586	Val12_10.1016_j.jpdc.2012.07.010.pdf	https://www.investigo.biblioteca.uvigo.es/xmlui/bitstream/11093/6339/5/2013_valdez_hydrodynamics_simulations.pdf
Zha23r	10.1016/j.jcp.2023.112339	closed					NO	0		
Qiu22	10.1145/3570160	bronze	repository		submittedVersion	0	NO	0		https://www.osti.gov/servlets/purl/1923959
Qiu22	10.1145/3570160	bronze	repository		submittedVersion	0	NO	0		https://www.osti.gov/servlets/purl/1923959
Qiu22	10.1145/3570160	bronze	publisher		publishedVersion	403	NO	0		https://dl.acm.org/doi/pdf/10.1145/3570160
Qiu22	10.1145/3570160	bronze	publisher		publishedVersion	403	NO	0		https://dl.acm.org/doi/pdf/10.1145/3570160
Che22f	10.1111/cgf.14643	closed					NO	0		
Wee25	10.1002/9781119102809.part5	closed					NO	0		
Mec02	10.1115/detc2001/dac-21028	closed					NO	0		
Mar05	10.1115/detc2004-57300	closed					NO	0		
Con07	10.2514/6.2007-1928	closed					NO	0		
Kle19	10.2139/ssrn.3395872	green	repository		acceptedVersion	403	NO	0		https://doi.org/10.2139/ssrn.3395872
Mec01	10.1115/detc2000/dtm-14573	closed					NO	0		
Loe09	10.1198/tech.2009.08040	closed					NO	0		
Ali19	10.1017/s089006041900026x	closed					NO	0		
Naf24	10.3390/computation12100207	gold	repository	cc-by-nc-nd	submittedVersion	200	NO	12608		https://utc.hal.science/hal-04708986v1/file/Enhanced_Drag_Force_Computation2024_accepted.pdf
Naf24	10.3390/computation12100207	gold	repository	cc-by-nc-nd	submittedVersion	200	NO	12608		https://utc.hal.science/hal-04708986v1/file/Enhanced_Drag_Force_Computation2024_accepted.pdf
Naf24	10.3390/computation12100207	gold	publisher	cc-by	publishedVersion	403	NO	0		https://www.mdpi.com/2079-3197/12/10/207/pdf?version=1729044403
Naf24	10.3390/computation12100207	gold	publisher	cc-by	publishedVersion	403	NO	0		https://www.mdpi.com/2079-3197/12/10/207/pdf?version=1729044403
Kuy11	10.2514/1.j050384	closed					NO	0		
Bon21	10.1016/j.ress.2021.107624	closed					NO	0		
Obe04	10.2172/918370	gold	repository		submittedVersion	0	NO	0		https://www.osti.gov/biblio/918370
Obe04	10.2172/918370	gold	?		publishedVersion	0	NO	0		https://www.osti.gov/servlets/purl/918370
Obe04	10.2172/918370	gold	?		publishedVersion	0	NO	0		https://www.osti.gov/servlets/purl/918370
Ste01	10.1115/1.1412235	closed					NO	0		
Col97	10.1115/1.2819500	closed					NO	0		
Cel07	10.1115/1.2960953	bronze	publisher		publishedVersion	403	NO	0		https://asmedigitalcollection.asme.org/fluidsengineering/article-pdf/130/7/078001/5491455/078001_1.pdf
Cel07	10.1115/1.2960953	bronze	publisher		publishedVersion	403	NO	0		https://asmedigitalcollection.asme.org/fluidsengineering/article-pdf/130/7/078001/5491455/078001_1.pdf
Roa94	10.1115/1.2910291	closed					NO	0		
Roa98	10.2514/2.457	closed					NO	0		
Mol19	10.1016/j.ijdrr.2018.10.022	green	repository	other-oa	submittedVersion	403	NO	0		http://hdl.handle.net/11311/1129212
Mol19	10.1016/j.ijdrr.2018.10.022	green	repository	cc-by-nc-nd	submittedVersion	200	NO	340471		http://hdl.handle.net/10251/157758
