cite_key	year	pdf_in_undermind	title	source_search
Maz18	2018	N	A differential variational approach for handling fluid-solid interaction problems via smoothed particle hydrodynamics	openimpl,gpuveh
Sha21	2021	Y	Froude Number Variance with Respect to the Hydrodynamic Response of a Non-Static Vehicle at a Low-Lying Flooded Roadway	openimpl,traction
Che25l	2025	N	A new CFD-MBD wave-structure interaction model: Coupling OpenFOAM with Chrono	openimpl
Azh23	2023	Y	Confirmation of vehicle stability criteria through a combination of smoothed particle hydrodynamics and laboratory measurements	realism,gpuport
Kaz16	2016	Y	SPH modelling of depth-limited turbulent open channel flows over rough boundaries	realism
Taf18	2018	N	A versatile algorithm for the treatment of open boundary conditions in Smoothed particle hydrodynamics GPU models	realism
Neg19	2019	Y	An improved non-reflecting outlet boundary condition for weakly-compressible SPH	realism
Alq23	2023	N	Understanding the Stability of Passenger Vehicles Exposed to Water Flows through 3D CFD Modelling	realism,gpuveh,coupling
Las09	2009	N	Permeable and non-reflecting boundary conditions in SPH	realism
Vac12	2012	N	SPH Modeling of Shallow Flow with Open Boundaries for Practical Flood Simulation	realism
Hol20	2020	N	Novel pressure inlet and outlet boundary conditions for Smoothed Particle Hydrodynamics, applied to real problems in porous media flow	realism
Kaz20	2020	Y	SPH modelling of turbulent open channel flow over and within natural gravel beds with rough interfacial boundaries	realism
Shi19d	2019	N	A Meshless WCSPH Boundary Treatment for Open-Channel Flow over Small-Scale Rough Bed	realism
Lop18b	2018	N	Smoothed Particle Hydrodynamics Method for Three-Dimensional Open Channel Flow Simulations	realism
Mil20	2020	N	A conceptual model of vehicles stability in flood flows	realism
Pah17	2017	N	Robust boundary treatment for open-channel flows in divergence-free incompressible SPH	realism
Yam24b	2024	N	Modeling of Vehicle Mobility in Shallow Water with Data-Driven Hydrodynamics Model	gpuveh,traction
Var22	2022	N	Transient, 3D CFD, Moving Mesh Simulation of Vehicle Water Wading in a Water Tunnel with Inclined Entry-Exit	gpuveh
Kha14	2014	N	Wading Simulation - Challenges and Solutions	gpuveh
Tis21	2021	N	Amphibious Vehicle Water Egress Modeling and Simulation Using CFD and Bekker's Methodology	gpuveh
Liu23e	2023	N	Research on launching, water exiting, and river crossing of an amphibious vehicle	gpuveh
Beh20	2020	N	Experimental and computational study of operation of an amphibious craft in calm water	gpuveh
Xio24	2024	N	Simulation of the Full-Process Dynamics of Floating Vehicles Driven by Flash Floods	gpuveh
Mar13	2013	N	Extended Validation of the Finite Element Model for the 2010 Toyota Yaris Passenger Sedan (MASH 1100kg Vehicle)	meshassets
Mar13b	2013	N	Extended Validation of the Finite Element Model for the 2007 Chevrolet Silverado Pick-Up Truck (MASH 2270kg Vehicle)	meshassets
Kha15	2015	N	Development and Validation of Finite Element Models of Mid-Size Sedan Including Interiors for Crashworthiness Simulations	meshassets
Mar14b	2014	N	Development and Validation of a Finite Element Model for a Mid-Sized Passenger Sedan	meshassets
Sed16	2016	N	Development and Validation of a Finite Element Model for the 2012 Toyota Camry	meshassets
Moh10	2010	N	Modeling, Testing, and Validation of the 2007 Chevy Silverado Finite Element Model	meshassets
Opi12	2012	N	Extended Validation of the Finite Element Model for the 2010 Toyota Yaris Passenger Sedan	meshassets
Var93	1993	N	Development of a Passenger Vehicle Finite Element Model. Final Report	meshassets
Opi07	2007	N	NCAC Vehicle Model Development Update	meshassets
Elr26	2026	Y	CarCrashNet: A Large-Scale Dataset and Hierarchical Neural Solver for Data-Driven Structural Crash Simulation	meshassets
Ray07	2007	N	Quantitative Evaluation of the Fidelity of Public-Domain Vehicle Models for Roadside Hardware Research	meshassets
Gup99	1999	N	Reverse Engineering Method for Developing Passenger Vehicle Finite Element Models	meshassets
Mcc03	2003	N	NHTSA's vehicle parameter database and NHTSA's crash test database	meshassets
Kir99	1999	N	Development and Validation of High Fidelity Vehicle Crash Simulation Models	meshassets
Elr24b	2024	Y	DrivAerNet++: A Large-Scale Multimodal Car Dataset with Computational Fluid Dynamics Simulations and Deep Learning Benchmarks	meshassets
Ash24	2024	Y	DrivAerML: High-Fidelity Computational Fluid Dynamics Dataset for Road-Car External Aerodynamics	meshassets
Elr24	2024	Y	DrivAerNet: A Parametric Car Dataset for Data-Driven Aerodynamic Design and Graph-Based Drag Prediction	meshassets
Sol04	2004	N	Crashworthiness Simulations Comparing PAM-CRASH and LS-DYNA	meshassets
Azh26	2026	N	Assessment of Vehicle Stability Processes Under Unsteady Flow Conditions	coupling
Mar19b	2019	N	Estabilidad de vehiculos frente a inundaciones: estudio numerico-experimental	coupling
Ma06	2006	Y	Structured mesh refinement in generalized interpolation material point (GIMP) method for simulation of dynamic problems	multires
Zha21g	2021	N	Truncated hierarchical B-spline material point method for large deformation geotechnical problems	multires
Sun20d	2020	N	A local grid refinement scheme for B-spline material point method	multires
Lia15	2015	N	A mesh-grading material point method and its parallelization for problems with localized extreme deformation	multires
He25c	2025	N	A Multi-Resolution Material Point Method Based on Penalty Formulation	multires
Gao17c	2017	N	An adaptive generalized interpolation material point method for simulating elastoplastic materials	multires
Ma05	2005	Y	Multiscale Simulations Using Generalized Interpolation Material Point (GIMP) Method And SAMRAI Parallel Processing	multires
Shi10	2010	N	Dynamic Meshing for Material Point Method Computations	multires
Lia12b	2012	N	An adaptive finite element material point method and its application in extreme deformation problems	multires
Slo69	1969	N	Studies of Off-Road Vehicles in the Riverine Environment. Volume II. Analytical Method for Egress Evaluation	traction
Jur74	1974	N	Mathematical Model of Wheeled Vehicles Exiting from the Riverine Environment	traction
Els18	2018	N	Development of In-Plane Truck Tire-Flooded Surface Interaction Models Using FEA-SPH Techniques	traction
Pre17	2017	N	The impact of flooding on road transport: A depth-disruption function	traversability
He24	2024	N	Functionality assessment of road network combining flood roadworthiness and graph topology	traversability
Arr19b	2019	N	Preparedness against mobility disruption by floods	traversability
Eva23	2023	N	A combined stability function to quantify flood risks to pedestrians and vehicle occupants	traversability
Das25	2025	Y	Integration of Stability Functions Into a Transport Flood Risk Modelling Framework	traversability
Boc21	2021	N	Determining the vehicle instability risk in stream crossings	traversability
Con18	2018	N	Reliability-Based Estimation of Traffic Interruption Probability due to Road Waterlogging	traversability
Lam18	2018	Y	Stress tests for a road network using fragility functions and functional capacity loss functions	traversability
Pre17b	2017	Y	Impact of climate change on disruption to urban transport networks from pluvial flooding	traversability
Arr19	2019	N	Sensitivity of Transport Model to Hydraulic Model for Flood Risk Assessment of Road Infrastructures	traversability
Buc21	2021	N	Quantitative flood risk evaluation to improve drivers route choice decisions during disruptive precipitation	traversability
Xia11	2011	N	Numerical assessment of flood hazard risk to people and vehicles in flash floods	traversability
Ros15	2015	N	The Performance of Photo Based Vehicle Models using HVE DyMesh Algorithm	optical
Eri13	2013	N	The Accuracy of Photo-Based Three-Dimensional Scanning for Collision Reconstruction Using 123D Catch	optical
Pfa25	2025	Y	Scalable Real2Sim: Physics-Aware Asset Generation Via Robotic Pick-and-Place Setups	optical
Pre24	2024	N	Mass, Centre of Gravity Location and Inertia Tensor of Electric Vehicles: Measured Data for Accurate Accident Reconstruction	optical
Far25b	2025	N	The Accuracy of 3D Mesh Generation of Neuralangelo Versus Photogrammetry and LiDAR Technology	optical
Mor25	2025	Y	Splatting Physical Scenes: End-to-End Real-to-Sim from Imperfect Robot Data	optical
Wei22	2022	Y	Approximate convex decomposition for 3D meshes with collision-aware concavity and tree search	optical
Mac97	1997	N	A Comparison of Moment of Inertia Estimation Techniques for Vehicle Dynamics Simulation	optical
Su26	2026	N	Automated Collision Proxy Reconstruction for Non-Manifold Meshes by Multi-Directional Ray Casting	optical
Gob14	2014	N	InTenso+ System: Measured Centre of Gravity Locations and Inertia Tensors of Road Vehicles	optical
Mad21	2021	Y	Fast evaluation of smooth distance constraints on co-dimensional geometry	optical
Kno26	2026	Y	Convex Primitive Decomposition for Collision Detection	optical
Bon25	2025	N	Validating High-Performance Multi-GPU MPM for Debris-Fluid-Structure Interaction	gpuport
Dom21	2021	Y	DualSPHysics: from fluid dynamics to multiphysics problems	gpuport
Wan20d	2020	N	A massively parallel and scalable multi-GPU material point method	gpuport
Nas25b	2025	Y	Task-parallelism in SWIFT for heterogeneous compute architectures	gpuport
Val12	2012	Y	Towards accelerating smoothed particle hydrodynamics simulations for free-surface flows on multi-GPU clusters	gpuport
Zha23r	2023	N	Multi-GPU multi-resolution SPH framework towards massive hydrodynamics simulations and its applications in high-speed water entry	gpuport
Qiu22	2022	N	A Sparse Distributed Gigascale Resolution Material Point Method	gpuport
Che22f	2022	N	Learning Physics with a Hierarchical Graph Network	gpuport
Wee25	2025	Y	The use of cross validation in the analysis of designed experiments	surrogate
Mec02	2002	N	Computationally Inexpensive Metamodel Assessment Strategies	surrogate
Sim01b	2001	N	Sampling Strategies for Computer Experiments: Design and Analysis	surrogate
Mar05	2005	N	Use of Kriging Models to Approximate Deterministic Computer Models	surrogate
Con07	2007	N	On Using Standard Residuals as a Metric of Kriging Model Quality	surrogate
Kle19	2019	N	Statistical Tests for Cross-Validation of Kriging Models	surrogate
Mec01	2001	N	Metamodeling of Combined Discrete/Continuous Responses	surrogate
Loe09	2009	N	Choosing the Sample Size of a Computer Experiment: A Practical Guide	surrogate
Ali19	2019	N	Ensemble of surrogates and cross-validation for rapid and accurate predictions using small data sets	surrogate
Naf24	2024	N	Enhanced Drag Force Estimation in Automotive Design: A Surrogate Model Leveraging Limited Full-Order Model Drag Data	surrogate
Kuy11	2011	N	Multifidelity surrogate modeling of experimental and computational aerodynamic data sets	surrogate
Bon21	2021	N	Gaussian processes for shock test emulation	surrogate
Roy11	2011	N	A comprehensive framework for verification, validation, and uncertainty quantification in scientific computing	valprotocol,credibility
Obe04	2004	Y	Verification, Validation, and Predictive Capability in Computational Engineering and Physics	valprotocol,credibility
Eca20	2020	N	On the Interpretation and Scope of the V&V 20 Standard for Verification and Validation in CFD and Heat Transfer	valprotocol,credibility
Ste01	2001	N	Comprehensive Approach to Verification and Validation of CFD Simulations Part 1: Methodology and Procedures	valprotocol
Col97	1997	N	Uncertainties and CFD Code Validation	valprotocol
Cel07	2007	N	Procedure for Estimation and Reporting of Uncertainty Due to Discretization in CFD Applications	valprotocol,credibility
Roa94	1994	N	Perspective: A Method for Uniform Reporting of Grid Refinement Studies	valprotocol
Roa98	1998	N	Verification of Codes and Calculations	valprotocol
Mol19	2019	N	Validation of flood risk models: Current practice and possible improvements	valprotocol
Abe14	2014	N	Material Point Method for Coupled Hydromechanical Problems	valprotocol
Obe02b	2002	Y	Verification and Validation in Computational Fluid Dynamics	credibility
Rie20	2020	Y	Unified Framework and Survey for Model Verification, Validation and Uncertainty Quantification	credibility
Roy10	2010	N	Review of Discretization Error Estimators in Scientific Computing	credibility
Roy05	2005	N	Review of code and solution verification procedures for computational simulation	credibility
Son26b	2026	Y	Your Simulation Runs but Solves the Wrong Physics: PDE-Grounded Intent Verification for LLM-Generated Multiphysics Simulation Code	trustai,reliableai
