branch	last_commit	ahead	behind	contained_in_n_others	contained_in
origin/claude/r9-reader	2026-08-19	69	5	1	origin/claude/add-ci-checks
origin/claude/r9-accessor	2026-08-20	91	5	1	origin/claude/add-ci-checks
origin/claude/r9-corpus-bib	2026-08-20	75	5	1	origin/claude/add-ci-checks
origin/claude/r9-gapscan	2026-08-20	87	5	1	origin/claude/add-ci-checks
origin/claude/r9-jobb-route	2026-08-20	87	5	1	origin/claude/add-ci-checks
origin/claude/r9-kramer-extract	2026-08-20	85	5	1	origin/claude/add-ci-checks
origin/claude/r9-landing	2026-08-20	74	5	1	origin/claude/add-ci-checks
origin/claude/r9-moving-vehicle	2026-08-20	87	5	1	origin/claude/add-ci-checks
origin/claude/r9-overleaf	2026-08-20	92	5	1	origin/claude/add-ci-checks
origin/claude/r9-platform	2026-08-20	80	5	0	
origin/claude/r9-priorcode	2026-08-20	81	5	1	origin/claude/add-ci-checks
origin/claude/r9-renders	2026-08-20	81	5	1	origin/claude/add-ci-checks
origin/claude/r9-settle	2026-08-20	78	5	0	
origin/claude/r8-register	2026-08-21	64	5	1	origin/claude/add-ci-checks
origin/claude/add-ci-checks	2026-08-25	471	0	0	
origin/claude/r7-inflow	2026-08-25	25	5	0	
origin/fix/public-repo-accuracy	2026-08-25	1	0	0	
