t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.826797264159652101e-02,2.066681673960966362e-03,2.776792396232858132e-02
3.333333333333333287e-02,4.329681396484375000e-04,-1.425743103027343750e-04,-2.223253250122070312e-04,5.071660270914435387e-04,-7.916094532530897065e-02,3.612944537956949264e-03,3.937027926053796208e-03
6.666666666666666574e-02,9.484291076660156250e-04,-2.355575561523437500e-04,-2.248287200927734375e-04,1.002772711217403412e-03,-8.509812728198222487e-02,2.807701545205311573e-03,-6.589484615847640732e-03
1.000000000000000056e-01,1.942634582519531250e-03,-5.440711975097656250e-04,-3.623962402343750000e-05,2.017710590735077858e-03,-1.072384122602033363e-01,-7.561222015692434587e-03,-9.981832052901028554e-03
1.333333333333333315e-01,2.997875213623046875e-03,-7.648468017578125000e-04,-1.626014709472656250e-04,3.098174463957548141e-03,-1.106475037492595098e-01,4.519060595196048788e-03,5.465406983579785237e-03
1.666666666666666574e-01,3.889560699462890625e-03,-8.072853088378906250e-04,-2.646446228027343750e-04,3.981259651482105255e-03,-1.181598980832669482e-01,6.226946812491425181e-04,-1.055975343508071609e-02
1.999999999999999833e-01,4.467010498046875000e-03,-7.166862487792968750e-04,-3.225803375244140625e-04,4.535623360425233841e-03,-1.161909493126653259e-01,1.907962735209148362e-03,-1.903444363302459960e-03
2.333333333333333093e-01,4.784107208251953125e-03,-8.168220520019531250e-04,-2.468824386596679688e-04,4.859612323343753815e-03,-1.180759748018830740e-01,-2.534868129697531378e-03,8.622787825680468254e-03
2.666666666666666630e-01,5.672454833984375000e-03,-9.207725524902343750e-04,-2.707242965698242188e-04,5.753073841333389282e-03,-1.464771420106257827e-01,1.870620560227221523e-03,6.294065594031366360e-03
2.999999999999999889e-01,6.759643554687500000e-03,-9.498596191406250000e-04,-1.050233840942382812e-04,6.826861761510372162e-03,-1.524599875171602781e-01,-3.506977804867571127e-03,1.845457583035938973e-02
3.333333333333333148e-01,7.852554321289062500e-03,-9.455680847167968750e-04,-3.838539123535156250e-04,7.918588817119598389e-03,-1.489803129599429066e-01,1.377360209699780976e-04,-3.096982401412499454e-03
3.666666666666666408e-01,8.365154266357421875e-03,-9.551048278808593750e-04,-1.553297042846679688e-04,8.420935831964015961e-03,-1.376131839739624108e-01,3.403675987810255137e-03,1.014081321021900392e-02
3.999999999999999667e-01,9.199142456054687500e-03,-9.207725524902343750e-04,4.911422729492187500e-05,9.245240129530429840e-03,-1.462637119392761198e-01,7.448044480474534310e-03,1.211754266018275766e-02
4.333333333333332926e-01,1.005744934082031250e-02,-9.965896606445312500e-04,-1.387596130371093750e-04,1.010765694081783295e-02,-1.524066666849092366e-01,-6.891677547809393900e-03,-3.592733698042924109e-03
4.666666666666666186e-01,1.085138320922851562e-02,-1.101970672607421875e-03,-1.268386840820312500e-04,1.090793032199144363e-02,-1.536930501057591492e-01,3.373449982819302223e-03,-1.251314668330136791e-02
4.999999999999999445e-01,1.173257827758789062e-02,-1.266002655029296875e-03,5.829334259033203125e-05,1.180082838982343674e-02,-1.767017162637107008e-01,-7.626091303777701551e-03,-1.748211430706560210e-02
5.333333333333333259e-01,1.299476623535156250e-02,-1.519203186035156250e-03,1.254081726074218750e-04,1.308386959135532379e-02,-1.877687171326073157e-01,-7.479497368200310400e-03,2.666198526810860392e-02
5.666666666666666519e-01,1.405000686645507812e-02,-1.327037811279296875e-03,-3.427267074584960938e-04,1.411669887602329254e-02,-1.864427799795521368e-01,-1.469732457807024564e-03,3.276576689449497287e-03
5.999999999999999778e-01,1.472759246826171875e-02,-1.510143280029296875e-03,-1.956224441528320312e-04,1.480610668659210205e-02,-2.048133208042419162e-01,-8.791677973526774352e-05,-1.712070958806998985e-02
6.333333333333333037e-01,1.581811904907226562e-02,-1.586437225341796875e-03,-4.169940948486328125e-04,1.590294204652309418e-02,-2.249111124163647724e-01,-3.712722297984537767e-04,-6.821228819764157687e-05
6.666666666666666297e-01,1.659440994262695312e-02,-1.657485961914062500e-03,-2.450942993164062500e-04,1.667878217995166779e-02,-2.242098174072484074e-01,-2.381655363953375133e-03,9.294623475184504713e-03
6.999999999999999556e-01,1.790618896484375000e-02,-2.056121826171875000e-03,-3.460645675659179688e-04,1.802717335522174835e-02,-2.413419328776237882e-01,1.168909294770159113e-03,2.689704024197390846e-03
7.333333333333332815e-01,1.881980895996093750e-02,-2.198219299316406250e-03,-1.914501190185546875e-04,1.894872076809406281e-02,-2.453489060428940827e-01,-2.636905961551998332e-03,-1.178166360542541938e-02
7.666666666666666075e-01,1.971864700317382812e-02,-2.099037170410156250e-03,-1.351833343505859375e-04,1.983051374554634094e-02,-2.344689483035926891e-01,-2.696748490542293097e-03,1.786604897866767364e-02
7.999999999999999334e-01,2.101755142211914062e-02,-2.287387847900390625e-03,-3.933906555175781250e-06,2.114165574312210083e-02,-2.588687585768318367e-01,7.151845056184733505e-03,8.849032839357182448e-03
8.333333333333332593e-01,2.218532562255859375e-02,-2.449035644531250000e-03,-9.143352508544921875e-05,2.232027798891067505e-02,-2.669159487187233726e-01,6.865225155633807030e-03,2.748988765522312593e-03
8.666666666666665853e-01,2.345561981201171875e-02,-2.665519714355468750e-03,-2.720355987548828125e-04,2.360815741121768951e-02,-2.757960484133861745e-01,1.682800050550540454e-03,-6.861486143996487451e-03
8.999999999999999112e-01,2.411031723022460938e-02,-2.726078033447265625e-03,-7.951259613037109375e-05,2.426407299935817719e-02,-2.801497870811668900e-01,5.222966951050737189e-03,-9.646098906725811273e-03
9.333333333333332371e-01,2.500820159912109375e-02,-2.639770507812500000e-03,-3.105401992797851562e-04,2.514905668795108795e-02,-2.805614660612187894e-01,1.107076364278874016e-03,5.826809201285420257e-03
9.666666666666665630e-01,2.554941177368164062e-02,-2.765655517578125000e-03,-3.976821899414062500e-04,2.570173889398574829e-02,-2.660148439959577060e-01,-6.791722717295357859e-05,-2.394524084014967164e-03
9.999999999999998890e-01,2.596282958984375000e-02,-2.827167510986328125e-03,-8.630752563476562500e-05,2.611644752323627472e-02,-2.515282262097722210e-01,-5.494666239993757119e-03,1.363779752785613565e-02
1.033333333333333215e+00,2.680444717407226562e-02,-2.843856811523437500e-03,-3.707408905029296875e-04,2.695743553340435028e-02,-2.491498796355797463e-01,1.276997225982359329e-03,-2.581855226729248744e-04
1.066666666666666652e+00,2.795171737670898438e-02,-3.042697906494140625e-03,-1.540184020996093750e-04,2.811725810170173645e-02,-2.730531938530971758e-01,-3.806465174835099718e-03,-1.139798656669121189e-02
1.100000000000000089e+00,2.934265136718750000e-02,-3.399848937988281250e-03,-1.568794250488281250e-04,2.953937649726867676e-02,-2.892717715219833563e-01,5.018098795300043186e-03,4.115175634719459713e-03
1.133333333333333526e+00,3.044557571411132812e-02,-3.615856170654296875e-03,-2.405643463134765625e-04,3.066048584878444672e-02,-3.026060350095671758e-01,3.473914711717650781e-03,-2.907327299756452214e-03
1.166666666666666963e+00,3.175163269042968750e-02,-3.949642181396484375e-03,-3.030300140380859375e-04,3.199777752161026001e-02,-3.253508050695476661e-01,-1.833026171839053156e-03,-5.053374070995780669e-03
1.200000000000000400e+00,3.276395797729492188e-02,-4.150390625000000000e-03,-3.508329391479492188e-04,3.302765265107154846e-02,-3.160989403127951736e-01,-5.805302797382557800e-04,-4.822691768895872796e-03
1.233333333333333837e+00,3.355360031127929688e-02,-4.199504852294921875e-03,-4.315376281738281250e-05,3.381540626287460327e-02,-3.225331119130793733e-01,5.841217465329242263e-03,1.043560857706711878e-02
1.266666666666667274e+00,3.462314605712890625e-02,-4.498004913330078125e-03,-1.583099365234375000e-04,3.491445630788803101e-02,-3.298855170699072081e-01,3.982811537834037886e-03,-7.736965150924709524e-03
1.300000000000000711e+00,3.543043136596679688e-02,-4.302501678466796875e-03,-1.838207244873046875e-04,3.569118678569793701e-02,-3.251258357137603583e-01,2.638833413921844000e-03,-1.053228093347525693e-02
1.333333333333334147e+00,3.650808334350585938e-02,-4.390239715576171875e-03,-3.051757812500000000e-05,3.677111864089965820e-02,-3.549723216436880269e-01,-7.982348367996012356e-03,-9.209207757446330120e-03
1.366666666666667584e+00,3.767490386962890625e-02,-4.717350006103515625e-03,-1.560449600219726562e-04,3.796941041946411133e-02,-3.533095707871866109e-01,3.018956953358858594e-03,1.150968917458468008e-02
1.400000000000001021e+00,3.821039199829101562e-02,-4.839420318603515625e-03,-2.030134201049804688e-04,3.851616755127906799e-02,-3.462714877343116004e-01,1.806193583586619559e-03,-1.201328138997756825e-02
1.433333333333334458e+00,3.934955596923828125e-02,-4.958152770996093750e-03,-3.097057342529296875e-04,3.966190665960311890e-02,-3.652579195230660769e-01,-5.159218683812943039e-05,-8.811199994657658782e-03
1.466666666666667895e+00,4.032325744628906250e-02,-5.058765411376953125e-03,-3.100633621215820312e-04,4.064052551984786987e-02,-3.613100968632251830e-01,1.236331670381331845e-03,5.400438060777012356e-03
1.500000000000001332e+00,4.120540618896484375e-02,-4.884719848632812500e-03,-2.967119216918945312e-04,4.149498790502548218e-02,-3.532145884690411353e-01,-1.367792280482164457e-03,-6.926567207966663649e-03
1.533333333333334769e+00,4.168558120727539062e-02,-4.922389984130859375e-03,-6.663799285888671875e-05,4.197525605559349060e-02,-3.361330324067797193e-01,7.633116593566095266e-03,-2.017558840058422155e-03
1.566666666666668206e+00,4.246854782104492188e-02,-4.800796508789062500e-03,-2.750158309936523438e-04,4.273992031812667847e-02,-3.409640839036678917e-01,-2.808634317926741314e-03,5.107303550475122619e-03
1.600000000000001643e+00,4.356622695922851562e-02,-5.050182342529296875e-03,-2.901554107666015625e-04,4.385891556739807129e-02,-3.664792960848818892e-01,1.880364752223063606e-03,4.707477349871534364e-03
1.633333333333335080e+00,4.463338851928710938e-02,-4.933834075927734375e-03,-2.876520156860351562e-04,4.490617662668228149e-02,-3.559438626922694637e-01,-1.421221814626902682e-03,8.395365538186852841e-03
1.666666666666668517e+00,4.574060440063476562e-02,-5.041122436523437500e-03,-2.448558807373046875e-04,4.601821303367614746e-02,-3.782401881445562886e-01,3.353099487548102161e-03,-2.979223753597597547e-03
1.700000000000001954e+00,4.694843292236328125e-02,-5.159378051757812500e-03,-1.254081726074218750e-04,4.723124578595161438e-02,-4.074193165678061113e-01,-7.527066067262412445e-03,-2.812876922613216906e-03
1.733333333333335391e+00,4.794168472290039062e-02,-5.270004272460937500e-03,-3.172159194946289062e-04,4.823151230812072754e-02,-4.071687606830576844e-01,-2.519590458945087166e-03,-1.883058641530718693e-03
1.766666666666668828e+00,4.879808425903320312e-02,-5.137920379638671875e-03,-2.775192260742187500e-04,4.906861111521720886e-02,-4.081092723956831758e-01,2.230328622963783324e-04,-1.063158714823154820e-02
1.800000000000002265e+00,4.990005493164062500e-02,-5.268573760986328125e-03,-3.659725189208984375e-04,5.017875134944915771e-02,-4.267156681901499438e-01,4.396103641481765114e-04,-3.654116604778775458e-03
1.833333333333335702e+00,5.050373077392578125e-02,-5.410671234130859375e-03,-3.236532211303710938e-04,5.079377070069313049e-02,-4.411693089692489411e-01,-5.805178253985674320e-04,7.429453225822075374e-03
1.866666666666669139e+00,5.140590667724609375e-02,-5.516052246093750000e-03,-2.532005310058593750e-04,5.170162394642829895e-02,-4.708744686802955326e-01,3.676371415487513210e-03,-1.129109081281537376e-03
1.900000000000002576e+00,5.240392684936523438e-02,-5.733966827392578125e-03,-2.814531326293945312e-04,5.271744728088378906e-02,-4.939809452815958069e-01,-1.828994092392497751e-03,-6.818503143229682519e-03
1.933333333333336013e+00,5.324792861938476562e-02,-5.957603454589843750e-03,-1.418590545654296875e-04,5.358035862445831299e-02,-5.027501077630988080e-01,6.698863629570798268e-04,2.124532008859119150e-02
