t,dx,dy,dz,dmag,yaw_deg,pitch_deg,roll_deg
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.329405608493067770e-01,-3.719436698272594270e-04,-1.518259838785924500e-02
3.333333333333333287e-02,5.094528198242187500e-03,-9.107589721679687500e-05,2.241134643554687500e-04,5.100268404930830002e-03,2.168772891681223780e-01,1.122598744567621576e-03,-2.960779616484084803e-02
6.666666666666666574e-02,2.055549621582031250e-02,1.912117004394531250e-04,7.486343383789062500e-05,2.055652253329753876e-02,4.145465389254350819e-01,-1.357245382843813705e-03,-1.957505035441213168e-02
1.000000000000000056e-01,4.706430435180664062e-02,7.395744323730468750e-04,-2.992153167724609375e-05,4.707012325525283813e-02,6.690976574514668762e-01,-4.304316929725601933e-03,2.294964613648276322e-03
1.333333333333333315e-01,8.122920989990234375e-02,1.341342926025390625e-03,-3.218650817871093750e-06,8.124028146266937256e-02,9.323361896323730802e-01,3.242782385862308728e-03,5.157231382869323019e-03
1.666666666666666574e-01,1.200599670410156250e-01,1.913070678710937500e-03,5.245208740234375000e-05,1.200752258300781250e-01,1.172902815997921122e+00,-6.251639547166607837e-03,-3.300904235787709140e-03
1.999999999999999833e-01,1.612668037414550781e-01,2.435684204101562500e-03,-1.236200332641601562e-04,1.612852364778518677e-01,1.407708711407092306e+00,1.055511020711589641e-03,2.930302273538383431e-03
2.333333333333333093e-01,2.038469314575195312e-01,2.952098846435546875e-03,5.924701690673828125e-05,2.038683146238327026e-01,1.625917780741661378e+00,-5.638180253843361710e-03,6.471397048400467054e-03
2.666666666666666630e-01,2.474641799926757812e-01,3.481864929199218750e-03,-7.605552673339843750e-05,2.474886924028396606e-01,1.846877815486158703e+00,-3.122952669944585504e-03,1.773624703648433261e-03
2.999999999999999889e-01,2.922453880310058594e-01,4.010677337646484375e-03,1.002550125122070312e-04,2.922729253768920898e-01,2.072137454313179195e+00,5.074710491400469432e-03,-7.268952951723366314e-03
3.333333333333333148e-01,3.379230499267578125e-01,4.526615142822265625e-03,2.634525299072265625e-05,3.379533588886260986e-01,2.290709911055934356e+00,4.484405639415165248e-03,-3.120805312497397250e-03
3.666666666666666408e-01,3.843111991882324219e-01,5.024433135986328125e-03,-2.694129943847656250e-05,3.843440413475036621e-01,2.507148147126471827e+00,3.899151725661298851e-03,-7.225444054738423133e-04
3.999999999999999667e-01,4.311561584472656250e-01,5.519866943359375000e-03,1.137256622314453125e-04,4.311915040016174316e-01,2.717557887480826828e+00,-2.244342047962338826e-03,2.171557094232396540e-02
4.333333333333332926e-01,4.779920578002929688e-01,6.035327911376953125e-03,1.233816146850585938e-04,4.780301749706268311e-01,2.929812846128143189e+00,7.228708029720516334e-03,-1.404702461840591238e-03
4.666666666666666186e-01,5.252695083618164062e-01,6.607532501220703125e-03,6.556510925292968750e-06,5.253110527992248535e-01,3.133842549467471539e+00,1.953527900997868803e-03,1.071519443331472345e-02
4.999999999999999445e-01,5.726761817932128906e-01,7.230281829833984375e-03,4.072189331054687500e-04,5.727219581604003906e-01,3.342128100989952610e+00,1.011013488862346973e-02,1.515561447156306592e-02
5.333333333333333259e-01,6.205654144287109375e-01,7.871150970458984375e-03,-3.099441528320312500e-06,6.206153631210327148e-01,3.541665460846116442e+00,2.529371961849786760e-03,7.787861399422543740e-03
5.666666666666666519e-01,6.690196990966796875e-01,8.566379547119140625e-03,1.003742218017578125e-04,6.690745353698730469e-01,3.745201896461323177e+00,3.857489822885202656e-03,1.176256458890717095e-02
5.999999999999999778e-01,7.181501388549804688e-01,9.337902069091796875e-03,1.072883605957031250e-06,7.182108759880065918e-01,3.948739826180410528e+00,3.683371692376115163e-03,-3.886949182497514716e-03
6.333333333333333037e-01,7.676959037780761719e-01,1.017951965332031250e-02,1.708269119262695312e-04,7.677633762359619141e-01,4.156720793954590931e+00,5.576757743349505109e-03,-1.142280519962868453e-02
6.666666666666666297e-01,8.173494338989257812e-01,1.109075546264648438e-02,-1.326799392700195312e-04,8.174247145652770996e-01,4.363076603593132319e+00,4.176004583890218625e-05,5.783604002592124781e-03
