run,vehicle,arm,repeat,n_grid,dx,water_layers,hull_m3,solid_volume_m3,fill_ratio,realized_rho,mass_kg,depth_m,velocity_ms,frames,final_disp_mag_m,passthrough_max_frac,C2_veh_zmin_rise,final_roll_deg,final_pitch_deg,final_yaw_deg,local_depth_bow_peak,local_depth_footprint_peak,n_water,n_vehicle,n_carved,substeps,bulk_modulus,floor_friction,water_eta
camry_A1,camry,A,1,108,0.09879390653912667,6,4.93977182788261,4.9008099775474445,0.9921126214544476,224.45269354240148,1100.0,0.3,1.5,90,0.9114935398101807,0.08754826130186072,-0.009017586708068848,-0.001858784247604566,0.000135462543792117,-0.37559255602625075,0.4534171743111478,0.3801140112595426,232329,40660,5277,16,150000.0,0.55,0.001
camry_A2,camry,A,2,108,0.09879390653912667,6,4.93977182788261,4.9008099775474445,0.9921126214544476,224.45269354240148,1100.0,0.3,1.5,90,0.9123718738555908,0.08754826130186072,-0.00901651382446289,-0.0017826510254202298,0.00019873775456258482,-0.37691345057870773,0.45337223240898716,0.38045584389732945,232329,40660,5277,16,150000.0,0.55,0.001
camry_A3,camry,A,3,108,0.09879390653912667,6,4.93977182788261,4.9008099775474445,0.9921126214544476,224.45269354240148,1100.0,0.3,1.5,90,0.9133451581001282,0.08760852067542149,-0.009014904499053955,-0.0015330114465675652,0.00031700773379251623,-0.3861666226763561,0.4535376352982389,0.3810350818352567,232329,40660,5277,16,150000.0,0.55,0.001
camry_B1,camry,B,1,108,0.09879390653912667,6,4.93977182788261,4.9008099775474445,0.9921126214544476,224.45269354240148,1100.0,0.3,1.5,90,1.0586873292922974,0.08744065527764507,-0.014148473739624023,-0.0013631607252039147,9.682165215377488e-05,0.934227938589055,0.4613597316460477,0.3992972297386991,232329,40660,5277,16,150000.0,0.55,0.001
camry_B2,camry,B,2,108,0.09879390653912667,6,4.93977182788261,4.9008099775474445,0.9921126214544476,224.45269354240148,1100.0,0.3,1.5,90,1.0575294494628906,0.08746648072345682,-0.014150381088256836,-0.002306700249349267,-0.0006463047742449722,0.9479269501865734,0.4613547248558866,0.3989968223290311,232329,40660,5277,16,150000.0,0.55,0.001
camry_B3,camry,B,3,108,0.09879390653912667,6,4.93977182788261,4.9008099775474445,0.9921126214544476,224.45269354240148,1100.0,0.3,1.5,90,1.057568907737732,0.08746648072345682,-0.01414710283279419,-0.0016926749349477986,-0.00039204510435979624,0.9410240835349235,0.4612543506340848,0.39912723729179966,232329,40660,5277,16,150000.0,0.55,0.001
rogue_A1,rogue,A,1,105,0.09852719305171853,6,5.628593964184732,5.835741540923683,1.036802721613435,188.493611700612,1100.0,0.3,1.5,90,0.5173447132110596,0.12787542496467094,-5.960464477539063e-08,0.0007029189195251702,0.0011121891052168823,-5.093616134857948,0.4428810477788959,0.527335107379726,221489,48811,2005,16,150000.0,0.55,0.001
rogue_A2,rogue,A,2,105,0.09852719305171853,6,5.628593964184732,5.835741540923683,1.036802721613435,188.493611700612,1100.0,0.3,1.5,90,0.5182155966758728,0.1279025143460849,5.960464477539063e-08,-0.0012041736273222378,-0.0006854235946550792,-5.106332239545219,0.4425587058599506,0.5275208354528461,221489,48811,2005,16,150000.0,0.55,0.001
rogue_A3,rogue,A,3,105,0.09852719305171853,6,5.628593964184732,5.835741540923683,1.036802721613435,188.493611700612,1100.0,0.3,1.5,90,0.5179629325866699,0.12797475269652217,0.0,-0.0024310470865286887,-0.00031602144388757214,-5.120258995262875,0.44316583877163274,0.5274377465780292,221489,48811,2005,16,150000.0,0.55,0.001
rogue_B1,rogue,B,1,105,0.09852719305171853,6,5.628593964184732,5.835741540923683,1.036802721613435,188.493611700612,1100.0,0.3,1.5,90,0.5657769441604614,0.1246743630609195,0.0,-0.0007439476311650604,-0.0004956666175425854,-4.860028360998566,0.4314535260732685,0.5287665725286518,221489,48811,2005,16,150000.0,0.55,0.001
rogue_B2,rogue,B,2,105,0.09852719305171853,6,5.628593964184732,5.835741540923683,1.036802721613435,188.493611700612,1100.0,0.3,1.5,90,0.5666672587394714,0.12469693754543115,0.0,-0.00028428208029385936,0.0006414632148288811,-4.857964790095576,0.4313383698995624,0.5282797217901264,221489,48811,2005,16,150000.0,0.55,0.001
rogue_B3,rogue,B,3,105,0.09852719305171853,6,5.628593964184732,5.835741540923683,1.036802721613435,188.493611700612,1100.0,0.3,1.5,90,0.5669342279434204,0.12486398873081733,0.0,-0.0014970107967778442,-0.00024899005116628127,-4.846046109993904,0.43138575559215886,0.5288292170103107,221489,48811,2005,16,150000.0,0.55,0.001
